threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0892,0.922,0.5146,0.796,78.26%,21.74%,7.80%,92.20%
0.0991,0.9194,0.5302,0.8017,79.64%,20.36%,8.06%,91.94%
0.109,0.9118,0.5393,0.8011,80.53%,19.47%,8.82%,91.18%
0.1189,0.9054,0.5505,0.802,81.52%,18.48%,9.46%,90.54%
0.1288,0.9041,0.5642,0.8069,82.54%,17.46%,9.59%,90.41%
0.1387,0.8977,0.5778,0.8082,83.60%,16.40%,10.23%,89.77%
0.1486,0.8926,0.5875,0.8086,84.34%,15.66%,10.74%,89.26%
0.1585,0.8913,0.5988,0.812,85.07%,14.93%,10.87%,89.13%
0.1684,0.8875,0.6045,0.8115,85.49%,14.51%,11.25%,88.75%
0.1783,0.8836,0.611,0.8112,85.93%,14.07%,11.64%,88.36%
0.1882,0.876,0.6182,0.8085,86.48%,13.52%,12.40%,87.60%
0.1981,0.8734,0.626,0.8094,86.96%,13.04%,12.66%,87.34%
0.208,0.8683,0.6346,0.8087,87.50%,12.50%,13.17%,86.83%
0.2179,0.8632,0.6404,0.807,87.88%,12.12%,13.68%,86.32%
0.2278,0.8606,0.6484,0.8077,88.33%,11.67%,13.94%,86.06%
0.2377,0.8593,0.6569,0.8094,88.78%,11.22%,14.07%,85.93%
0.2476,0.8555,0.665,0.8091,89.23%,10.77%,14.45%,85.55%
0.2575,0.8517,0.6727,0.8086,89.64%,10.36%,14.83%,85.17%
0.2674,0.8465,0.6776,0.8063,89.93%,10.07%,15.35%,84.65%
0.2773,0.8389,0.6805,0.8016,90.15%,9.85%,16.11%,83.89%
0.2872,0.8376,0.6851,0.8019,90.38%,9.62%,16.24%,83.76%
0.2971,0.8338,0.6914,0.8008,90.70%,9.30%,16.62%,83.38%
0.307,0.8312,0.6967,0.8003,90.95%,9.05%,16.88%,83.12%
0.3169,0.8274,0.701,0.7986,91.18%,8.82%,17.26%,82.74%
0.3268,0.8274,0.7079,0.8003,91.46%,8.54%,17.26%,82.74%
0.3367,0.8248,0.7143,0.8,91.75%,8.25%,17.52%,82.48%
0.3466,0.8223,0.7209,0.7998,92.04%,7.96%,17.77%,82.23%
0.3565,0.8171,0.727,0.7974,92.33%,7.67%,18.29%,81.71%
0.3664,0.8159,0.7342,0.7981,92.62%,7.38%,18.41%,81.59%
0.3763,0.8159,0.7384,0.7991,92.77%,7.23%,18.41%,81.59%
0.3862,0.8159,0.7471,0.8011,93.09%,6.91%,18.41%,81.59%
0.3961,0.8133,0.75,0.7998,93.22%,6.78%,18.67%,81.33%
0.406,0.8082,0.7515,0.7962,93.32%,6.68%,19.18%,80.82%
0.4159,0.8056,0.7563,0.7953,93.51%,6.49%,19.44%,80.56%
