Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,HR,92.5,0-1,0-2,0-2,4460.88379,82842.625,
0,1,0-1,ICULOS,52.0,0-3,0-4,0-4,2827.71411,50178.2148,
0,2,0-2,MAP,68.6699982,0-5,0-6,0-6,787.337402,32664.4102,
0,3,0-3,HospAdmTime,-2.26999998,0-7,0-8,0-8,1522.19824,34218.8438,
0,4,0-4,MAP,80.0,0-9,0-10,0-10,551.143677,15959.3711,
0,5,0-5,Creatinine,1.4101131,0-11,0-12,0-12,137.631836,6353.77002,
0,6,0-6,HR,112.0,0-13,0-14,0-14,791.191284,26310.6406,
0,7,0-7,MAP,77.5,0-15,0-16,0-16,1400.10498,18919.6582,
0,8,0-8,ICULOS,15.0,0-17,0-18,0-18,710.828674,15299.1855,
0,9,0-9,SaO2,95.0650482,0-19,0-20,0-20,276.49939,7978.06445,
0,10,0-10,ICULOS,199.0,0-21,0-22,0-22,237.007584,7981.30664,
0,11,0-11,Bilirubin_direct,3.52562499,0-23,0-24,0-24,122.071625,2515.59106,
0,12,0-12,Lactate,2.57699609,0-25,0-26,0-26,95.3292236,3838.1792,
0,13,0-13,ICULOS,46.0,0-27,0-28,0-28,560.07312,18301.8027,
0,14,0-14,Potassium,4.15845013,0-29,0-30,0-30,254.570312,8008.83643,
0,15,0-15,Phosphate,3.67403102,0-31,0-32,0-32,406.622314,9582.93066,
0,16,0-16,Hct,31.3228073,0-33,0-34,0-34,398.204102,9336.72754,
0,17,0-17,Calcium,6.39703655,0-35,0-36,0-36,180.780136,6207.79736,
0,18,0-18,PTT,44.4732742,0-37,0-38,0-38,514.481934,9091.3877,
0,19,0-19,ICULOS,199.0,0-39,0-40,0-40,182.517456,6684.68994,
0,20,0-20,ICULOS,192.0,0-41,0-42,0-42,89.9989624,1293.37439,
0,21,0-21,HR,72.0,0-43,0-44,0-44,236.557434,7199.74902,
0,22,0-22,Magnesium,2.01344824,0-45,0-46,0-46,130.421265,781.557434,
0,23,0-23,Bilirubin_total,2.0999999,0-47,0-48,0-48,79.9373779,2247.07153,
0,24,0-24,HospAdmTime,-45.4900017,0-49,0-50,0-50,145.528366,268.519684,
0,25,0-25,ICULOS,35.0,0-51,0-52,0-52,115.979858,682.97229,
0,26,0-26,Lactate,2.79483509,0-53,0-54,0-54,87.1607666,3155.20679,
0,27,0-27,ICULOS,14.0,0-55,0-56,0-56,575.430725,10822.8447,
0,28,0-28,Lactate,1.90021276,0-57,0-58,0-58,158.451233,7478.9585,
0,29,0-29,PaCO2,40.9311218,0-59,0-60,0-60,220.519928,4705.88086,
0,30,0-30,Fibrinogen,337.742859,0-61,0-62,0-62,141.853149,3302.95532,
0,31,0-31,HospAdmTime,-7.67999983,0-63,0-64,0-64,227.914917,4516.57617,
0,32,0-32,HCO3,23.9734383,0-65,0-66,0-66,310.371613,5066.35498,
0,33,0-33,Creatinine,1.49542141,0-67,0-68,0-68,225.513916,5048.62646,
0,34,0-34,TroponinI,9.6673336,0-69,0-70,0-70,270.197754,4288.10156,
0,35,0-35,Phosphate,3.30614471,0-71,0-72,0-72,43.6851196,118.880104,
0,36,0-36,Hgb,10.4480782,0-73,0-74,0-74,166.019135,6088.91699,
0,37,0-37,pH,7.37317991,0-75,0-76,0-76,575.450073,7500.42432,
0,38,0-38,Hgb,10.705533,0-77,0-78,0-78,226.4655,1590.9635,
0,39,0-39,Phosphate,3.40939856,0-79,0-80,0-80,223.50592,6018.75098,
0,40,0-40,Creatinine,1.41516221,0-81,0-82,0-82,100.952454,665.939148,
0,41,0-41,HospAdmTime,-110.550003,0-83,0-84,0-84,143.007324,1104.39331,
0,42,0-42,TroponinI,11.8207588,0-85,0-86,0-86,27.7144165,188.981033,
0,43,0-43,SaO2,91.8492966,0-87,0-88,0-88,155.038971,1696.47461,
0,44,0-44,Calcium,7.6277256,0-89,0-90,0-90,285.088226,5503.27441,
0,45,0-45,Alkalinephos,93.6285706,0-91,0-92,0-92,91.2990952,155.715286,
0,46,0-46,PaCO2,40.6732025,0-93,0-94,0-94,107.126556,625.842163,
0,47,0-47,ICULOS,94.0,0-95,0-96,0-96,90.0654907,1736.36719,
0,48,0-48,PaCO2,41.8397522,0-97,0-98,0-98,66.6722641,510.704193,
0,49,0-49,ICULOS,41.0,0-99,0-100,0-100,32.6275291,120.558342,
0,50,0-50,MAP,66.0,0-101,0-102,0-102,74.8629913,147.961349,
0,51,0-51,Chloride,106.995743,0-103,0-104,0-104,68.1720581,237.38797,
0,52,0-52,Fibrinogen,294.287231,0-105,0-106,0-106,41.5510254,445.58429,
0,53,0-53,HospAdmTime,-191.220001,0-107,0-108,0-108,98.6392441,269.091461,
0,54,0-54,HospAdmTime,-0.00999999978,0-109,0-110,0-110,65.4971924,2886.11548,
0,55,0-55,Hct,29.3720684,0-111,0-112,0-112,203.108246,4382.90137,
0,56,0-56,SaO2,91.4573517,0-113,0-114,0-114,375.572937,6439.94336,
0,57,0-57,AST,51.0367661,0-115,0-116,0-116,47.6218872,303.378479,
0,58,0-58,Phosphate,3.5,0-117,0-118,0-118,135.877991,7175.58008,
0,59,0-59,ICULOS,53.0,0-119,0-120,0-120,136.254517,1877.9043,
0,60,0-60,Hgb,9.96342564,0-121,0-122,0-122,188.673737,2827.97681,
0,61,0-61,Chloride,105.426079,0-123,0-124,0-124,92.0389404,3072.66431,
0,62,0-62,Alkalinephos,110.108986,0-125,0-126,0-126,113.603615,230.290985,
0,63,0-63,HospAdmTime,-400.959991,0-127,0-128,0-128,143.26239,3543.78271,
0,64,0-64,Lactate,3.1761694,0-129,0-130,0-130,233.789612,972.793335,
0,65,0-65,ICULOS,17.0,0-131,0-132,0-132,142.70285,1687.56372,
0,66,0-66,HospAdmTime,-121.260002,0-133,0-134,0-134,133.909698,3378.79126,
0,67,0-67,HospAdmTime,-30.9099998,0-135,0-136,0-136,173.351318,3097.33569,
