threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.1189,0.9167,0.5,0.7857,60.74%,39.26%,8.33%,91.67%
0.1288,0.9079,0.512,0.7863,62.93%,37.07%,9.21%,90.79%
0.1387,0.9006,0.5234,0.7871,64.87%,35.13%,9.94%,90.06%
0.1486,0.8933,0.5313,0.7862,66.25%,33.75%,10.67%,89.33%
0.1585,0.883,0.5432,0.7848,68.19%,31.81%,11.70%,88.30%
0.1684,0.8757,0.55,0.783,69.32%,30.68%,12.43%,87.57%
0.1783,0.8728,0.5595,0.7849,70.57%,29.43%,12.72%,87.28%
0.1882,0.8699,0.5727,0.7881,72.20%,27.80%,13.01%,86.99%
0.1981,0.864,0.5846,0.7886,73.70%,26.30%,13.60%,86.40%
0.208,0.8538,0.5911,0.7841,74.70%,25.30%,14.62%,85.38%
0.2179,0.848,0.5979,0.7825,75.58%,24.42%,15.20%,84.80%
0.2278,0.8406,0.604,0.7796,76.39%,23.61%,15.94%,84.06%
0.2377,0.8319,0.6112,0.7758,77.33%,22.67%,16.81%,83.19%
0.2476,0.8275,0.6247,0.777,78.71%,21.29%,17.25%,82.75%
0.2575,0.8275,0.6374,0.7809,79.84%,20.16%,17.25%,82.75%
0.2674,0.8187,0.6437,0.7765,80.59%,19.41%,18.13%,81.87%
0.2773,0.8114,0.6514,0.7734,81.40%,18.60%,18.86%,81.14%
0.2872,0.8041,0.6579,0.7699,82.09%,17.91%,19.59%,80.41%
0.2971,0.7997,0.6663,0.7689,82.84%,17.16%,20.03%,79.97%
0.307,0.7953,0.6708,0.7668,83.28%,16.72%,20.47%,79.53%
0.3169,0.7895,0.6784,0.7644,83.97%,16.03%,21.05%,78.95%
0.3268,0.788,0.6831,0.7645,84.35%,15.65%,21.20%,78.80%
0.3367,0.7822,0.6885,0.7615,84.85%,15.15%,21.78%,78.22%
0.3466,0.7749,0.6928,0.7569,85.28%,14.72%,22.51%,77.49%
0.3565,0.7719,0.6984,0.756,85.72%,14.28%,22.81%,77.19%
0.3664,0.7705,0.7036,0.7561,86.10%,13.90%,22.95%,77.05%
0.3763,0.7617,0.7088,0.7505,86.60%,13.40%,23.83%,76.17%
0.3862,0.7602,0.7153,0.7508,87.04%,12.96%,23.98%,76.02%
0.3961,0.7544,0.7157,0.7463,87.16%,12.84%,24.56%,75.44%
0.406,0.75,0.7185,0.7435,87.41%,12.59%,25.00%,75.00%
0.4159,0.7456,0.7203,0.7404,87.60%,12.40%,25.44%,74.56%
0.4258,0.7412,0.7274,0.7384,88.10%,11.90%,25.88%,74.12%
0.4357,0.7368,0.7315,0.7358,88.42%,11.58%,26.32%,73.68%
0.4456,0.7354,0.743,0.7369,89.10%,10.90%,26.46%,73.54%
0.4555,0.731,0.7519,0.7351,89.67%,10.33%,26.90%,73.10%
0.4654,0.7281,0.7591,0.7341,90.11%,9.89%,27.19%,72.81%
0.4753,0.7251,0.7654,0.7329,90.48%,9.52%,27.49%,72.51%
0.4852,0.7237,0.7722,0.7329,90.86%,9.14%,27.63%,72.37%
