threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.1585,0.8099,0.5101,0.7248,80.56%,19.44%,19.01%,80.99%
0.1684,0.8056,0.5233,0.7271,81.65%,18.35%,19.44%,80.56%
0.1783,0.7997,0.5311,0.7262,82.35%,17.65%,20.03%,79.97%
0.1882,0.7939,0.5441,0.7271,83.37%,16.63%,20.61%,79.39%
0.1981,0.7865,0.5529,0.7253,84.10%,15.90%,21.35%,78.65%
0.208,0.7822,0.5626,0.7255,84.80%,15.20%,21.78%,78.22%
0.2179,0.7807,0.5785,0.7297,85.78%,14.22%,21.93%,78.07%
0.2278,0.7763,0.5874,0.7294,86.37%,13.63%,22.37%,77.63%
0.2377,0.769,0.5923,0.7257,86.77%,13.23%,23.10%,76.90%
0.2476,0.7646,0.6005,0.725,87.28%,12.72%,23.54%,76.46%
0.2575,0.7588,0.6099,0.7234,87.87%,12.13%,24.12%,75.88%
0.2674,0.7558,0.6184,0.7237,88.34%,11.66%,24.42%,75.58%
0.2773,0.7544,0.6293,0.7255,88.89%,11.11%,24.56%,75.44%
0.2872,0.7529,0.6398,0.7272,89.40%,10.60%,24.71%,75.29%
0.2971,0.7515,0.6523,0.7293,89.99%,10.01%,24.85%,75.15%
0.307,0.75,0.6577,0.7295,90.24%,9.76%,25.00%,75.00%
0.3169,0.7442,0.6636,0.7265,90.57%,9.43%,25.58%,74.42%
0.3268,0.7354,0.6707,0.7215,90.97%,9.03%,26.46%,73.54%
0.3367,0.7354,0.6797,0.7235,91.34%,8.66%,26.46%,73.54%
0.3466,0.7339,0.6867,0.724,91.63%,8.37%,26.61%,73.39%
0.3565,0.7266,0.6893,0.7188,91.81%,8.19%,27.34%,72.66%
0.3664,0.7266,0.6941,0.7199,92.00%,8.00%,27.34%,72.66%
0.3763,0.7222,0.7017,0.718,92.32%,7.68%,27.78%,72.22%
0.3862,0.7193,0.711,0.7176,92.69%,7.31%,28.07%,71.93%
0.3961,0.7178,0.7157,0.7174,92.87%,7.13%,28.22%,71.78%
0.406,0.7178,0.721,0.7185,93.06%,6.94%,28.22%,71.78%
0.4159,0.7149,0.7288,0.7176,93.35%,6.65%,28.51%,71.49%
0.4258,0.7149,0.732,0.7183,93.46%,6.54%,28.51%,71.49%
0.4357,0.712,0.7356,0.7166,93.60%,6.40%,28.80%,71.20%
0.4456,0.7091,0.7416,0.7153,93.82%,6.18%,29.09%,70.91%
0.4555,0.7091,0.745,0.716,93.93%,6.07%,29.09%,70.91%
0.4654,0.7061,0.7523,0.7149,94.19%,5.81%,29.39%,70.61%
0.4753,0.7032,0.7587,0.7136,94.41%,5.59%,29.68%,70.32%
0.4852,0.7003,0.7627,0.712,94.55%,5.45%,29.97%,70.03%
0.4951,0.6988,0.7648,0.7111,94.63%,5.37%,30.12%,69.88%
0.5049,0.6974,0.7694,0.7107,94.77%,5.23%,30.26%,69.74%
0.5148,0.693,0.7732,0.7077,94.92%,5.08%,30.70%,69.30%
