Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,ICULOS,56.0,0-1,0-2,0-2,3166.41992,46477.7109,
0,1,0-1,HR,100.0,0-3,0-4,0-4,308.283203,40489.1523,
0,2,0-2,Resp,24.9473686,0-5,0-6,0-6,197.440186,5988.55811,
0,3,0-3,DBP,58.722168,0-7,0-8,0-8,87.8574219,32682.5547,
0,4,0-4,Resp,27.0,0-9,0-10,0-10,75.0,7806.59717,
0,5,0-5,MAP,85.3300018,0-11,0-12,0-12,91.6012726,4811.89648,
0,6,0-6,HR,89.0,0-13,0-14,0-14,85.9326019,1176.6615,
0,7,0-7,Resp,30.0,0-15,0-16,0-16,43.0644531,14028.8984,
0,8,0-8,WBC,11.9175081,0-17,0-18,0-18,30.9277344,18653.6562,
0,9,0-9,DBP,58.0358238,0-19,0-20,0-20,59.0085449,6728.56299,
0,10,0-10,FiO2,0.59114337,0-21,0-22,0-22,33.517868,1078.03442,
0,11,0-11,Lactate,4.77722216,0-23,0-24,0-24,50.3744659,2813.10132,
0,12,0-12,HR,73.0,0-25,0-26,0-26,55.2663727,1998.79529,
0,13,0-13,MAP,78.6699982,0-27,0-28,0-28,34.3696556,475.312988,
0,14,0-14,PaCO2,40.0,0-29,0-30,0-30,87.4938507,701.348572,
0,15,0-15,Chloride,105.253014,0-31,0-32,0-32,38.4746094,13709.293,
0,16,0-16,PTT,49.9804001,0-33,0-34,0-34,28.3576202,319.604919,
0,17,0-17,FiO2,0.600000024,0-35,0-36,0-36,24.2978516,14750.8389,
0,18,0-18,ICULOS,45.0,0-37,0-38,0-38,13.6188965,3902.81689,
0,19,0-19,FiO2,0.600000024,0-39,0-40,0-40,37.1528931,2090.43774,
0,20,0-20,Lactate,1.90021276,0-41,0-42,0-42,21.494873,4638.125,
0,21,0-21,Potassium,4.07580805,0-43,0-44,0-44,23.4619751,985.428467,
0,22,0-22,Lactate,2.20254993,0-45,0-46,0-46,9.63863087,92.6059494,
0,23,0-23,Platelets,200.546616,0-47,0-48,0-48,48.5614395,2799.13232,
0,24,0-24,O2Sat,96.5384598,0-49,0-50,0-50,19.7179337,13.9691677,
0,25,0-25,Platelets,198.882233,0-51,0-52,0-52,13.4315338,402.938232,
0,26,0-26,pH,7.36260176,0-53,0-54,0-54,40.9168777,1595.85706,
0,27,0-27,PaCO2,40.3765221,0-55,0-56,0-56,19.4902229,207.249466,
0,28,0-28,Age,29.0,0-57,0-58,0-58,15.5332718,268.063507,
0,29,0-29,HR,112.0,0-59,0-60,0-60,29.178299,116.449875,
0,30,0-30,TroponinI,15.5874996,0-61,0-62,0-62,54.2436028,584.898682,
0,31,0-31,FiO2,0.54203862,0-63,0-64,0-64,15.9761963,3231.09253,
0,32,0-32,ICULOS,11.0,0-65,0-66,0-66,26.5996094,10478.2002,
0,33,0-33,Lactate,4.72831011,0-67,0-68,0-68,11.7509537,297.808197,
0,34,0-34,O2Sat,94.609375,0-69,0-70,0-70,18.695034,21.7967186,
0,35,0-35,O2Sat,99.625,0-71,0-72,0-72,21.1396484,14313.46,
0,36,0-36,Resp,37.0,0-73,0-74,0-74,25.3449707,437.379456,
0,37,0-37,Glucose,271.0,0-75,0-76,0-76,8.65869141,3599.5896,
0,38,0-38,Age,24.0,0-77,0-78,0-78,16.4599304,303.227295,
0,39,0-39,ICULOS,10.0,0-79,0-80,0-80,26.7850952,2007.70667,
0,40,0-40,PTT,42.2291908,0-81,0-82,0-82,11.9374228,82.7311935,
0,41,0-41,Resp,17.4400005,0-83,0-84,0-84,8.6992321,99.5905304,
0,42,0-42,ICULOS,14.0,0-85,0-86,0-86,20.7028809,4538.53467,
0,43,0-43,Lactate,2.21926665,0-87,0-88,0-88,9.52290344,311.05484,
0,44,0-44,HR,124.0,0-89,0-90,0-90,14.7400742,674.373596,
0,45,0-45,Fibrinogen,300.871429,0-91,0-92,0-92,14.3229055,12.4036579,
0,46,0-46,PaCO2,40.0521278,0-93,0-94,0-94,10.2132111,80.2022934,
0,47,0-47,SOFA,7.0,0-95,0-96,0-96,40.2746468,1984.94653,
0,48,0-48,ICULOS,198.0,0-97,0-98,0-98,31.6635056,814.18573,
0,49,0-49,HCO3,23.9025002,0-99,0-100,0-100,7.36824703,7.10500765,
0,50,0-50,FiO2,0.501501441,0-101,0-102,0-102,5.50162506,6.86416006,
0,51,0-51,Lactate,2.21926665,0-103,0-104,0-104,11.6909332,179.190704,
0,52,0-52,Alkalinephos,77.2926865,0-105,0-106,0-106,17.8094635,223.747528,
0,53,0-53,Potassium,4.24259281,0-107,0-108,0-108,20.9078636,47.2061539,
0,54,0-54,O2Sat,95.6999969,0-109,0-110,0-110,28.186554,1548.65088,
0,55,0-55,Potassium,4.25518179,0-111,0-112,0-112,29.9853382,66.4739685,
0,56,0-56,Lactate,2.02486491,0-113,0-114,0-114,12.2276907,140.775497,
0,57,0-57,Leaf,,,,,0.0943829343,2.16762948,
0,58,0-58,Hct,32.4990654,0-115,0-116,0-116,13.3751202,265.895874,
0,59,0-59,WBC,11.5973358,0-117,0-118,0-118,38.8705597,88.1502686,
0,60,0-60,Bilirubin_direct,2.41000009,0-119,0-120,0-120,23.5712128,28.2996082,
0,61,0-61,Fibrinogen,251.595749,0-121,0-122,0-122,29.3759308,511.921844,
0,62,0-62,Alkalinephos,128.251801,0-123,0-124,0-124,92.3136215,72.97686,
0,63,0-63,Leaf,,,,,-0.041951634,1782.99573,
0,64,0-64,Leaf,,,,,-0.034587007,1448.09692,
0,65,0-65,Leaf,,,,,-0.040465571,2560.81348,
