threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0397,0.9719,0.509,0.8223,59.84%,40.16%,2.81%,97.19%
0.0496,0.9642,0.531,0.8289,63.51%,36.49%,3.58%,96.42%
0.0595,0.9629,0.5533,0.8387,66.68%,33.32%,3.71%,96.29%
0.0694,0.9604,0.5694,0.8444,68.88%,31.12%,3.96%,96.04%
0.0793,0.954,0.5837,0.8466,70.85%,29.15%,4.60%,95.40%
0.0892,0.9488,0.595,0.848,72.33%,27.67%,5.12%,94.88%
0.0991,0.9463,0.6071,0.8512,73.75%,26.25%,5.37%,94.63%
0.109,0.9437,0.6212,0.855,75.34%,24.66%,5.63%,94.37%
0.1189,0.9399,0.6304,0.8558,76.38%,23.62%,6.01%,93.99%
0.1288,0.9348,0.639,0.8556,77.37%,22.63%,6.52%,93.48%
0.1387,0.9271,0.6462,0.8529,78.25%,21.75%,7.29%,92.71%
0.1486,0.9258,0.6517,0.854,78.79%,21.21%,7.42%,92.58%
0.1585,0.922,0.6609,0.8545,79.73%,20.27%,7.80%,92.20%
0.1684,0.9156,0.6704,0.8532,80.71%,19.29%,8.44%,91.56%
0.1783,0.9118,0.679,0.8533,81.53%,18.47%,8.82%,91.18%
0.1882,0.9105,0.6913,0.8562,82.58%,17.42%,8.95%,91.05%
0.1981,0.9066,0.6985,0.8557,83.23%,16.77%,9.34%,90.66%
0.208,0.9041,0.7035,0.8553,83.67%,16.33%,9.59%,90.41%
0.2179,0.8977,0.7084,0.8521,84.16%,15.84%,10.23%,89.77%
0.2278,0.8951,0.7179,0.853,84.93%,15.07%,10.49%,89.51%
0.2377,0.8926,0.7203,0.8518,85.15%,14.85%,10.74%,89.26%
0.2476,0.8913,0.7245,0.8521,85.48%,14.52%,10.87%,89.13%
0.2575,0.89,0.7288,0.8523,85.81%,14.19%,11.00%,89.00%
0.2674,0.8836,0.7312,0.8483,86.08%,13.92%,11.64%,88.36%
0.2773,0.8824,0.7411,0.85,86.79%,13.21%,11.76%,88.24%
0.2872,0.8824,0.7484,0.8519,87.29%,12.71%,11.76%,88.24%
0.2971,0.8785,0.7508,0.8496,87.51%,12.49%,12.15%,87.85%
0.307,0.8708,0.76,0.8462,88.22%,11.78%,12.92%,87.08%
0.3169,0.867,0.7644,0.8443,88.55%,11.45%,13.30%,86.70%
0.3268,0.8619,0.7694,0.8417,88.93%,11.07%,13.81%,86.19%
0.3367,0.8619,0.7747,0.8429,89.26%,10.74%,13.81%,86.19%
0.3466,0.8606,0.7807,0.8434,89.64%,10.36%,13.94%,86.06%
0.3565,0.8593,0.786,0.8436,89.97%,10.03%,14.07%,85.93%
0.3664,0.8568,0.7882,0.8421,90.14%,9.86%,14.32%,85.68%
0.3763,0.8555,0.7927,0.8421,90.41%,9.59%,14.45%,85.55%
0.3862,0.8517,0.7995,0.8407,90.85%,9.15%,14.83%,85.17%
0.3961,0.8478,0.8017,0.8382,91.01%,8.99%,15.22%,84.78%
0.406,0.844,0.8059,0.8361,91.29%,8.71%,15.60%,84.40%
0.4159,0.844,0.8068,0.8363,91.34%,8.66%,15.60%,84.40%
0.4258,0.844,0.8088,0.8367,91.45%,8.55%,15.60%,84.40%
0.4357,0.8427,0.8126,0.8365,91.67%,8.33%,15.73%,84.27%
0.4456,0.8402,0.8192,0.8359,92.05%,7.95%,15.98%,84.02%
0.4555,0.8389,0.819,0.8348,92.05%,7.95%,16.11%,83.89%
0.4654,0.8338,0.8212,0.8312,92.22%,7.78%,16.62%,83.38%
0.4753,0.8312,0.8238,0.8297,92.38%,7.62%,16.88%,83.12%
0.4852,0.8261,0.8314,0.8271,92.82%,7.18%,17.39%,82.61%
0.4951,0.8184,0.8301,0.8207,92.82%,7.18%,18.16%,81.84%
0.5049,0.8171,0.8342,0.8205,93.04%,6.96%,18.29%,81.71%
0.5148,0.8146,0.836,0.8188,93.15%,6.85%,18.54%,81.46%
0.5247,0.8107,0.8386,0.8162,93.32%,6.68%,18.93%,81.07%
0.5346,0.8082,0.8438,0.8151,93.59%,6.41%,19.18%,80.82%
0.5445,0.8043,0.85,0.8131,93.92%,6.08%,19.57%,80.43%
0.5544,0.8005,0.8529,0.8105,94.08%,5.92%,19.95%,80.05%
0.5643,0.8005,0.8587,0.8115,94.36%,5.64%,19.95%,80.05%
0.5742,0.798,0.8595,0.8095,94.41%,5.59%,20.20%,79.80%
0.5841,0.7954,0.8651,0.8084,94.68%,5.32%,20.46%,79.54%
0.594,0.7916,0.8706,0.8062,94.96%,5.04%,20.84%,79.16%
0.6039,0.789,0.8739,0.8046,95.12%,4.88%,21.10%,78.90%
0.6138,0.7877,0.8762,0.804,95.23%,4.77%,21.23%,78.77%
0.6237,0.7826,0.878,0.8,95.34%,4.66%,21.74%,78.26%
0.6336,0.7775,0.8812,0.7962,95.51%,4.49%,22.25%,77.75%
0.6435,0.7737,0.8819,0.7931,95.56%,4.44%,22.63%,77.37%
0.6534,0.7685,0.8891,0.79,95.89%,4.11%,23.15%,76.85%
0.6633,0.766,0.89,0.788,95.95%,4.05%,23.40%,76.60%
0.6732,0.7634,0.8897,0.7857,95.95%,4.05%,23.66%,76.34%
0.6831,0.7609,0.8907,0.7837,96.00%,4.00%,23.91%,76.09%
0.693,0.757,0.8929,0.7808,96.11%,3.89%,24.30%,75.70%
0.7029,0.757,0.8956,0.7812,96.22%,3.78%,24.30%,75.70%
0.7128,0.7545,0.8994,0.7796,96.38%,3.62%,24.55%,75.45%
0.7227,0.7506,0.9031,0.7769,96.55%,3.45%,24.94%,75.06%
0.7326,0.7494,0.9043,0.776,96.60%,3.40%,25.06%,74.94%
0.7425,0.7404,0.9061,0.7685,96.71%,3.29%,25.96%,74.04%
0.7524,0.7366,0.9071,0.7653,96.77%,3.23%,26.34%,73.66%
0.7623,0.7302,0.9121,0.7605,96.99%,3.01%,26.98%,73.02%
0.7722,0.7302,0.9165,0.7611,97.15%,2.85%,26.98%,73.02%
0.7821,0.7251,0.9175,0.7568,97.21%,2.79%,27.49%,72.51%
0.792,0.7225,0.9202,0.7549,97.32%,2.68%,27.75%,72.25%
0.8019,0.7174,0.9227,0.7508,97.42%,2.58%,28.26%,71.74%
0.8118,0.711,0.9282,0.7459,97.64%,2.36%,28.90%,71.10%
0.8217,0.7072,0.9294,0.7427,97.70%,2.30%,29.28%,70.72%
0.8316,0.702,0.9305,0.7383,97.75%,2.25%,29.80%,70.20%
0.8415,0.6995,0.9334,0.7364,97.86%,2.14%,30.05%,69.95%
0.8514,0.6931,0.9345,0.7309,97.92%,2.08%,30.69%,69.31%
0.8613,0.6867,0.9421,0.7261,98.19%,1.81%,31.33%,68.67%
0.8712,0.6765,0.9446,0.7172,98.30%,1.70%,32.35%,67.65%
0.8811,0.6726,0.946,0.7139,98.36%,1.64%,32.74%,67.26%
0.891,0.665,0.9489,0.7073,98.47%,1.53%,33.50%,66.50%
0.9009,0.6611,0.9504,0.704,98.52%,1.48%,33.89%,66.11%
0.9108,0.6458,0.951,0.6901,98.58%,1.42%,35.42%,64.58%
0.9207,0.6394,0.9579,0.6849,98.79%,1.21%,36.06%,63.94%
0.9306,0.6215,0.9605,0.6687,98.90%,1.10%,37.85%,62.15%
0.9405,0.6087,0.9636,0.6571,99.01%,0.99%,39.13%,60.87%
0.9504,0.5921,0.9666,0.6418,99.12%,0.88%,40.79%,59.21%
0.9603,0.5742,0.9698,0.6252,99.23%,0.77%,42.58%,57.42%
0.9702,0.5448,0.9771,0.5976,99.45%,0.55%,45.52%,54.48%
0.9801,0.5115,0.978,0.5655,99.51%,0.49%,48.85%,51.15%
