threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0199,0.9981,0.5534,0.8599,65.47%,34.53%,0.19%,99.81%
0.0298,0.9973,0.6098,0.8849,72.65%,27.35%,0.27%,99.73%
0.0397,0.9968,0.654,0.9022,77.40%,22.60%,0.32%,99.68%
0.0496,0.996,0.6868,0.9137,80.53%,19.47%,0.40%,99.60%
0.0595,0.996,0.7161,0.9238,83.08%,16.92%,0.40%,99.60%
0.0694,0.996,0.7385,0.9311,84.89%,15.11%,0.40%,99.60%
0.0793,0.9955,0.7579,0.9367,86.38%,13.62%,0.45%,99.55%
0.0892,0.9947,0.7737,0.9409,87.53%,12.47%,0.53%,99.47%
0.0991,0.9947,0.788,0.9451,88.53%,11.47%,0.53%,99.47%
0.109,0.9947,0.8016,0.9489,89.45%,10.55%,0.53%,99.47%
0.1189,0.9947,0.8136,0.9523,90.24%,9.76%,0.53%,99.47%
0.1288,0.9936,0.8236,0.9542,90.88%,9.12%,0.64%,99.36%
0.1387,0.9936,0.8321,0.9565,91.41%,8.59%,0.64%,99.36%
0.1486,0.9936,0.8402,0.9586,91.90%,8.10%,0.64%,99.36%
0.1585,0.9936,0.847,0.9604,92.31%,7.69%,0.64%,99.36%
0.1684,0.9936,0.8558,0.9626,92.83%,7.17%,0.64%,99.36%
0.1783,0.9936,0.8622,0.9642,93.19%,6.81%,0.64%,99.36%
0.1882,0.9936,0.867,0.9654,93.47%,6.53%,0.64%,99.36%
0.1981,0.9936,0.8721,0.9667,93.76%,6.24%,0.64%,99.36%
0.208,0.9936,0.8768,0.9678,94.02%,5.98%,0.64%,99.36%
0.2179,0.9936,0.8822,0.9691,94.32%,5.68%,0.64%,99.36%
0.2278,0.993,0.887,0.9699,94.58%,5.42%,0.70%,99.30%
0.2377,0.993,0.8915,0.9709,94.82%,5.18%,0.70%,99.30%
0.2476,0.993,0.8956,0.9719,95.04%,4.96%,0.70%,99.30%
0.2575,0.993,0.8993,0.9728,95.23%,4.77%,0.70%,99.30%
0.2674,0.993,0.9039,0.9738,95.47%,4.53%,0.70%,99.30%
0.2773,0.993,0.9085,0.9749,95.71%,4.29%,0.70%,99.30%
0.2872,0.993,0.9125,0.9758,95.92%,4.08%,0.70%,99.30%
0.2971,0.993,0.9155,0.9765,96.07%,3.93%,0.70%,99.30%
0.307,0.993,0.9179,0.9771,96.20%,3.80%,0.70%,99.30%
0.3169,0.993,0.9198,0.9775,96.29%,3.71%,0.70%,99.30%
0.3268,0.993,0.9218,0.9779,96.39%,3.61%,0.70%,99.30%
0.3367,0.9922,0.9234,0.9777,96.47%,3.53%,0.78%,99.22%
0.3466,0.9922,0.9252,0.9781,96.56%,3.44%,0.78%,99.22%
0.3565,0.9922,0.9273,0.9785,96.67%,3.33%,0.78%,99.22%
0.3664,0.9922,0.9291,0.9789,96.76%,3.24%,0.78%,99.22%
0.3763,0.9922,0.9312,0.9794,96.86%,3.14%,0.78%,99.22%
0.3862,0.9922,0.9343,0.9801,97.01%,2.99%,0.78%,99.22%
0.3961,0.9922,0.9364,0.9806,97.11%,2.89%,0.78%,99.22%
0.406,0.9922,0.9385,0.981,97.22%,2.78%,0.78%,99.22%
0.4159,0.9922,0.9407,0.9815,97.32%,2.68%,0.78%,99.22%
0.4258,0.9922,0.9419,0.9817,97.38%,2.62%,0.78%,99.22%
0.4357,0.9922,0.9436,0.9821,97.46%,2.54%,0.78%,99.22%
0.4456,0.9922,0.945,0.9824,97.52%,2.48%,0.78%,99.22%
0.4555,0.9922,0.9469,0.9828,97.62%,2.38%,0.78%,99.22%
0.4654,0.9922,0.9489,0.9833,97.71%,2.29%,0.78%,99.22%
0.4753,0.9904,0.95,0.982,97.77%,2.23%,0.96%,99.04%
0.4852,0.9904,0.9515,0.9823,97.83%,2.17%,0.96%,99.04%
0.4951,0.9904,0.9529,0.9826,97.90%,2.10%,0.96%,99.04%
0.5049,0.9904,0.9541,0.9829,97.96%,2.04%,0.96%,99.04%
0.5148,0.9904,0.9554,0.9832,98.02%,1.98%,0.96%,99.04%
0.5247,0.9904,0.9569,0.9835,98.09%,1.91%,0.96%,99.04%
0.5346,0.9904,0.9581,0.9837,98.14%,1.86%,0.96%,99.04%
0.5445,0.9896,0.9588,0.9833,98.18%,1.82%,1.04%,98.96%
0.5544,0.989,0.9605,0.9832,98.26%,1.74%,1.10%,98.90%
0.5643,0.9882,0.9612,0.9827,98.29%,1.71%,1.18%,98.82%
0.5742,0.9877,0.9622,0.9825,98.34%,1.66%,1.23%,98.77%
0.5841,0.9877,0.963,0.9827,98.37%,1.63%,1.23%,98.77%
0.594,0.9877,0.9635,0.9828,98.40%,1.60%,1.23%,98.77%
0.6039,0.9877,0.9642,0.9829,98.43%,1.57%,1.23%,98.77%
0.6138,0.9877,0.9647,0.983,98.45%,1.55%,1.23%,98.77%
0.6237,0.9877,0.9652,0.9831,98.48%,1.52%,1.23%,98.77%
0.6336,0.9872,0.9665,0.983,98.53%,1.47%,1.28%,98.72%
0.6435,0.9872,0.968,0.9833,98.60%,1.40%,1.28%,98.72%
0.6534,0.9872,0.968,0.9833,98.60%,1.40%,1.28%,98.72%
0.6633,0.9872,0.9688,0.9834,98.64%,1.36%,1.28%,98.72%
0.6732,0.9872,0.9695,0.9836,98.67%,1.33%,1.28%,98.72%
0.6831,0.9872,0.97,0.9837,98.69%,1.31%,1.28%,98.72%
0.693,0.9872,0.9703,0.9837,98.71%,1.29%,1.28%,98.72%
0.7029,0.9872,0.9713,0.984,98.75%,1.25%,1.28%,98.72%
0.7128,0.9872,0.9716,0.984,98.76%,1.24%,1.28%,98.72%
0.7227,0.9872,0.9726,0.9842,98.81%,1.19%,1.28%,98.72%
0.7326,0.9872,0.9731,0.9843,98.83%,1.17%,1.28%,98.72%
0.7425,0.9872,0.9739,0.9845,98.87%,1.13%,1.28%,98.72%
0.7524,0.9872,0.9747,0.9846,98.90%,1.10%,1.28%,98.72%
0.7623,0.9872,0.9752,0.9847,98.92%,1.08%,1.28%,98.72%
0.7722,0.9872,0.9762,0.985,98.97%,1.03%,1.28%,98.72%
0.7821,0.9872,0.9767,0.9851,98.99%,1.01%,1.28%,98.72%
0.792,0.9864,0.9772,0.9845,99.01%,0.99%,1.36%,98.64%
0.8019,0.9858,0.9782,0.9843,99.06%,0.94%,1.42%,98.58%
0.8118,0.9848,0.9785,0.9835,99.07%,0.93%,1.52%,98.48%
0.8217,0.9837,0.9795,0.9828,99.12%,0.88%,1.63%,98.37%
0.8316,0.9824,0.9805,0.982,99.16%,0.84%,1.76%,98.24%
0.8415,0.9816,0.9805,0.9813,99.16%,0.84%,1.84%,98.16%
0.8514,0.9805,0.9805,0.9805,99.16%,0.84%,1.95%,98.05%
0.8613,0.9797,0.981,0.9799,99.19%,0.81%,2.03%,97.97%
0.8712,0.9781,0.9815,0.9788,99.21%,0.79%,2.19%,97.81%
0.8811,0.9738,0.9817,0.9754,99.22%,0.78%,2.62%,97.38%
0.891,0.9717,0.9824,0.9738,99.26%,0.74%,2.83%,97.17%
0.9009,0.9684,0.9826,0.9713,99.27%,0.73%,3.16%,96.84%
0.9108,0.965,0.9834,0.9686,99.30%,0.70%,3.50%,96.50%
0.9207,0.9612,0.9847,0.9658,99.36%,0.64%,3.88%,96.12%
0.9306,0.9524,0.9845,0.9587,99.36%,0.64%,4.76%,95.24%
0.9405,0.9398,0.9849,0.9485,99.38%,0.62%,6.02%,93.98%
0.9504,0.9187,0.9854,0.9313,99.42%,0.58%,8.13%,91.87%
0.9603,0.8864,0.9881,0.905,99.54%,0.46%,11.36%,88.64%
0.9702,0.8511,0.9885,0.8754,99.58%,0.42%,14.89%,85.11%
0.9801,0.7551,0.9898,0.7927,99.67%,0.33%,24.49%,75.51%
0.99,0.5976,0.9907,0.6491,99.76%,0.24%,40.24%,59.76%
