threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.109,0.9169,0.1993,0.5331,82.25%,17.75%,8.31%,91.69%
0.1189,0.906,0.2182,0.5557,84.35%,15.65%,9.40%,90.60%
0.1288,0.8941,0.2368,0.5749,86.11%,13.89%,10.59%,89.41%
0.1387,0.8808,0.2578,0.5938,87.78%,12.22%,11.92%,88.08%
0.1486,0.8672,0.2789,0.6099,89.19%,10.81%,13.28%,86.72%
0.1585,0.8547,0.3009,0.6247,90.43%,9.57%,14.53%,85.47%
0.1684,0.842,0.3209,0.6356,91.41%,8.59%,15.80%,84.20%
0.1783,0.8301,0.3417,0.6456,92.29%,7.71%,16.99%,83.01%
0.1882,0.8182,0.3644,0.655,93.12%,6.88%,18.18%,81.82%
0.1981,0.8067,0.3855,0.662,93.80%,6.20%,19.33%,80.67%
0.208,0.7945,0.405,0.6663,94.37%,5.63%,20.55%,79.45%
0.2179,0.7826,0.4256,0.6702,94.91%,5.09%,21.74%,78.26%
0.2278,0.7719,0.4452,0.6731,95.36%,4.64%,22.81%,77.19%
0.2377,0.7609,0.4656,0.6752,95.79%,4.21%,23.91%,76.09%
0.2476,0.7485,0.4853,0.6753,96.17%,3.83%,25.15%,74.85%
0.2575,0.7391,0.5052,0.6765,96.51%,3.49%,26.09%,73.91%
0.2674,0.7278,0.5223,0.6747,96.79%,3.21%,27.22%,72.78%
0.2773,0.7153,0.5409,0.6719,97.07%,2.93%,28.47%,71.53%
0.2872,0.7022,0.5604,0.6684,97.34%,2.66%,29.78%,70.22%
0.2971,0.6901,0.578,0.6643,97.57%,2.43%,30.99%,69.01%
0.307,0.6776,0.5966,0.6597,97.79%,2.21%,32.24%,67.76%
0.3169,0.665,0.6121,0.6537,97.97%,2.03%,33.50%,66.50%
0.3268,0.6526,0.6282,0.6476,98.14%,1.86%,34.74%,65.26%
0.3367,0.6416,0.6424,0.6417,98.28%,1.72%,35.84%,64.16%
0.3466,0.6312,0.6587,0.6365,98.42%,1.58%,36.88%,63.12%
0.3565,0.6231,0.674,0.6327,98.55%,1.45%,37.69%,62.31%
0.3664,0.6117,0.6889,0.6257,98.67%,1.33%,38.83%,61.17%
0.3763,0.6023,0.7011,0.6198,98.76%,1.24%,39.77%,60.23%
0.3862,0.5899,0.7117,0.6108,98.85%,1.15%,41.01%,58.99%
0.3961,0.5781,0.7234,0.6023,98.93%,1.07%,42.19%,57.81%
0.406,0.5691,0.7339,0.5958,99.01%,0.99%,43.09%,56.91%
0.4159,0.5571,0.7466,0.5869,99.09%,0.91%,44.29%,55.71%
