threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0496,0.9591,0.5003,0.8105,58.94%,41.06%,4.09%,95.91%
0.0595,0.954,0.5166,0.8158,61.73%,38.27%,4.60%,95.40%
0.0694,0.9514,0.5288,0.8203,63.65%,36.35%,4.86%,95.14%
0.0793,0.9437,0.5434,0.8226,66.01%,33.99%,5.63%,94.37%
0.0892,0.9386,0.5569,0.8255,67.98%,32.02%,6.14%,93.86%
0.0991,0.9309,0.5639,0.8237,69.13%,30.87%,6.91%,93.09%
0.109,0.9246,0.5715,0.8229,70.29%,29.71%,7.54%,92.46%
0.1189,0.9182,0.5814,0.8228,71.66%,28.34%,8.18%,91.82%
0.1288,0.913,0.5925,0.8239,73.08%,26.92%,8.70%,91.30%
0.1387,0.9092,0.5995,0.8241,73.96%,26.04%,9.08%,90.92%
0.1486,0.9079,0.6074,0.8262,74.84%,25.16%,9.21%,90.79%
0.1585,0.9015,0.6157,0.8249,75.88%,24.12%,9.85%,90.15%
0.1684,0.8977,0.6223,0.8247,76.64%,23.36%,10.23%,89.77%
0.1783,0.8913,0.6296,0.8229,77.52%,22.48%,10.87%,89.13%
0.1882,0.8887,0.6417,0.8252,78.73%,21.27%,11.13%,88.87%
0.1981,0.8824,0.6455,0.822,79.22%,20.78%,11.76%,88.24%
0.208,0.8811,0.6531,0.8236,79.93%,20.07%,11.89%,88.11%
0.2179,0.876,0.6593,0.8219,80.59%,19.41%,12.40%,87.60%
0.2278,0.8747,0.6673,0.8235,81.30%,18.70%,12.53%,87.47%
0.2377,0.8645,0.674,0.8182,82.07%,17.93%,13.55%,86.45%
0.2476,0.8581,0.6778,0.8147,82.51%,17.49%,14.19%,85.81%
0.2575,0.8555,0.682,0.8141,82.89%,17.11%,14.45%,85.55%
0.2674,0.8542,0.6851,0.814,83.17%,16.83%,14.58%,85.42%
0.2773,0.8529,0.689,0.8142,83.50%,16.50%,14.71%,85.29%
0.2872,0.8478,0.6928,0.8115,83.88%,16.12%,15.22%,84.78%
0.2971,0.8453,0.6951,0.8102,84.10%,15.90%,15.47%,84.53%
0.307,0.8389,0.6979,0.8063,84.43%,15.57%,16.11%,83.89%
0.3169,0.835,0.7014,0.8044,84.76%,15.24%,16.50%,83.50%
0.3268,0.8338,0.7064,0.8047,85.14%,14.86%,16.62%,83.38%
0.3367,0.8274,0.7102,0.8009,85.53%,14.47%,17.26%,82.74%
0.3466,0.8235,0.7179,0.8,86.13%,13.87%,17.65%,82.35%
0.3565,0.8223,0.7249,0.8007,86.62%,13.38%,17.77%,82.23%
0.3664,0.8197,0.7292,0.7999,86.95%,13.05%,18.03%,81.97%
0.3763,0.8184,0.7331,0.7998,87.23%,12.77%,18.16%,81.84%
0.3862,0.8171,0.7379,0.7999,87.55%,12.45%,18.29%,81.71%
0.3961,0.8146,0.7416,0.7988,87.83%,12.17%,18.54%,81.46%
0.406,0.8095,0.7465,0.796,88.21%,11.79%,19.05%,80.95%
0.4159,0.8043,0.7515,0.7932,88.60%,11.40%,19.57%,80.43%
0.4258,0.8031,0.7557,0.7931,88.87%,11.13%,19.69%,80.31%
0.4357,0.7967,0.757,0.7884,89.04%,10.96%,20.33%,79.67%
0.4456,0.7941,0.762,0.7875,89.36%,10.64%,20.59%,79.41%
0.4555,0.789,0.7684,0.7848,89.80%,10.20%,21.10%,78.90%
0.4654,0.7877,0.7729,0.7847,90.08%,9.92%,21.23%,78.77%
0.4753,0.7864,0.7795,0.785,90.46%,9.54%,21.36%,78.64%
0.4852,0.7826,0.7816,0.7824,90.62%,9.38%,21.74%,78.26%
0.4951,0.7801,0.7841,0.7808,90.79%,9.21%,21.99%,78.01%
0.5049,0.7775,0.7906,0.7801,91.17%,8.83%,22.25%,77.75%
0.5148,0.7724,0.7947,0.7767,91.45%,8.55%,22.76%,77.24%
