threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0199,0.9979,0.5588,0.8623,66.23%,33.77%,0.21%,99.79%
0.0298,0.9973,0.6207,0.8894,73.89%,26.11%,0.27%,99.73%
0.0397,0.9965,0.6657,0.9064,78.55%,21.45%,0.35%,99.65%
0.0496,0.996,0.7026,0.9192,81.93%,18.07%,0.40%,99.60%
0.0595,0.9955,0.7332,0.929,84.47%,15.53%,0.45%,99.55%
0.0694,0.9952,0.7531,0.9351,86.02%,13.98%,0.48%,99.52%
0.0793,0.9952,0.7704,0.9403,87.29%,12.71%,0.48%,99.52%
0.0892,0.9952,0.7851,0.9446,88.32%,11.68%,0.48%,99.52%
0.0991,0.9952,0.8011,0.9492,89.41%,10.59%,0.48%,99.52%
0.109,0.9952,0.8127,0.9524,90.17%,9.83%,0.48%,99.52%
0.1189,0.9947,0.8201,0.954,90.65%,9.35%,0.53%,99.47%
0.1288,0.9947,0.8326,0.9574,91.43%,8.57%,0.53%,99.47%
0.1387,0.9947,0.842,0.9599,92.00%,8.00%,0.53%,99.47%
0.1486,0.9947,0.8493,0.9617,92.44%,7.56%,0.53%,99.47%
0.1585,0.9941,0.8567,0.9632,92.87%,7.13%,0.59%,99.41%
0.1684,0.9941,0.8636,0.965,93.27%,6.73%,0.59%,99.41%
0.1783,0.9936,0.8682,0.9657,93.54%,6.46%,0.64%,99.36%
0.1882,0.9936,0.8741,0.9672,93.87%,6.13%,0.64%,99.36%
0.1981,0.9933,0.8795,0.9683,94.17%,5.83%,0.67%,99.33%
0.208,0.9933,0.8839,0.9693,94.41%,5.59%,0.67%,99.33%
0.2179,0.9933,0.8885,0.9704,94.66%,5.34%,0.67%,99.33%
0.2278,0.9933,0.893,0.9715,94.90%,5.10%,0.67%,99.33%
0.2377,0.9933,0.8976,0.9726,95.14%,4.86%,0.67%,99.33%
0.2476,0.9933,0.9021,0.9736,95.38%,4.62%,0.67%,99.33%
0.2575,0.9933,0.9048,0.9742,95.52%,4.48%,0.67%,99.33%
0.2674,0.9933,0.9105,0.9756,95.82%,4.18%,0.67%,99.33%
0.2773,0.9933,0.9121,0.9759,95.90%,4.10%,0.67%,99.33%
0.2872,0.9933,0.9143,0.9764,96.01%,3.99%,0.67%,99.33%
0.2971,0.9933,0.9182,0.9773,96.21%,3.79%,0.67%,99.33%
0.307,0.9933,0.9202,0.9778,96.31%,3.69%,0.67%,99.33%
0.3169,0.9933,0.9221,0.9782,96.40%,3.60%,0.67%,99.33%
0.3268,0.9922,0.9247,0.978,96.54%,3.46%,0.78%,99.22%
0.3367,0.9922,0.9268,0.9784,96.64%,3.36%,0.78%,99.22%
0.3466,0.9922,0.9278,0.9786,96.69%,3.31%,0.78%,99.22%
0.3565,0.992,0.9291,0.9787,96.76%,3.24%,0.80%,99.20%
0.3664,0.992,0.9315,0.9793,96.87%,3.13%,0.80%,99.20%
0.3763,0.992,0.9319,0.9794,96.89%,3.11%,0.80%,99.20%
0.3862,0.992,0.9331,0.9796,96.95%,3.05%,0.80%,99.20%
0.3961,0.992,0.9357,0.9802,97.08%,2.92%,0.80%,99.20%
0.406,0.992,0.9364,0.9803,97.11%,2.89%,0.80%,99.20%
0.4159,0.992,0.9373,0.9805,97.16%,2.84%,0.80%,99.20%
0.4258,0.992,0.9388,0.9809,97.23%,2.77%,0.80%,99.20%
0.4357,0.992,0.9402,0.9812,97.30%,2.70%,0.80%,99.20%
0.4456,0.992,0.9414,0.9814,97.35%,2.65%,0.80%,99.20%
0.4555,0.992,0.9426,0.9817,97.41%,2.59%,0.80%,99.20%
0.4654,0.992,0.9435,0.9819,97.46%,2.54%,0.80%,99.20%
0.4753,0.992,0.945,0.9822,97.52%,2.48%,0.80%,99.20%
0.4852,0.992,0.9455,0.9823,97.55%,2.45%,0.80%,99.20%
0.4951,0.992,0.9464,0.9825,97.59%,2.41%,0.80%,99.20%
0.5049,0.992,0.9484,0.9829,97.69%,2.31%,0.80%,99.20%
