threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0496,0.9718,0.5013,0.8182,58.61%,41.39%,2.82%,97.18%
0.0595,0.968,0.5217,0.8266,62.01%,37.99%,3.20%,96.80%
0.0694,0.9577,0.5351,0.8271,64.36%,35.64%,4.23%,95.77%
0.0793,0.9565,0.5513,0.8339,66.67%,33.33%,4.35%,95.65%
0.0892,0.9526,0.5658,0.838,68.70%,31.30%,4.74%,95.26%
0.0991,0.9501,0.5756,0.8407,70.01%,29.99%,4.99%,95.01%
0.109,0.9475,0.5887,0.8446,71.66%,28.34%,5.25%,94.75%
0.1189,0.9437,0.6002,0.8467,73.08%,26.92%,5.63%,94.37%
0.1288,0.9437,0.6152,0.8526,74.73%,25.27%,5.63%,94.37%
0.1387,0.9385,0.6244,0.8527,75.82%,24.18%,6.15%,93.85%
0.1486,0.9347,0.6381,0.8552,77.30%,22.70%,6.53%,93.47%
0.1585,0.9334,0.6434,0.8562,77.85%,22.15%,6.66%,93.34%
0.1684,0.9309,0.6532,0.8579,78.84%,21.16%,6.91%,93.09%
0.1783,0.9283,0.6639,0.8598,79.88%,20.12%,7.17%,92.83%
0.1882,0.9257,0.6713,0.8605,80.59%,19.41%,7.43%,92.57%
0.1981,0.9219,0.678,0.86,81.25%,18.75%,7.81%,92.19%
0.208,0.9193,0.6832,0.8599,81.74%,18.26%,8.07%,91.93%
0.2179,0.9142,0.6859,0.8571,82.07%,17.93%,8.58%,91.42%
0.2278,0.9104,0.6937,0.8568,82.79%,17.21%,8.96%,91.04%
0.2377,0.9078,0.7027,0.8577,83.55%,16.45%,9.22%,90.78%
0.2476,0.9065,0.7066,0.858,83.88%,16.12%,9.35%,90.65%
0.2575,0.9052,0.7106,0.8582,84.21%,15.79%,9.48%,90.52%
0.2674,0.8988,0.712,0.854,84.43%,15.57%,10.12%,89.88%
0.2773,0.8924,0.7178,0.851,84.98%,15.02%,10.76%,89.24%
0.2872,0.8924,0.726,0.8533,85.58%,14.42%,10.76%,89.24%
0.2971,0.8886,0.7282,0.8511,85.80%,14.20%,11.14%,88.86%
0.307,0.886,0.7362,0.8514,86.40%,13.60%,11.40%,88.60%
0.3169,0.8809,0.7414,0.849,86.84%,13.16%,11.91%,88.09%
0.3268,0.8796,0.7459,0.8492,87.17%,12.83%,12.04%,87.96%
0.3367,0.8771,0.7486,0.848,87.39%,12.61%,12.29%,87.71%
0.3466,0.8745,0.7539,0.8474,87.77%,12.23%,12.55%,87.45%
0.3565,0.8707,0.7572,0.8454,88.05%,11.95%,12.93%,87.07%
0.3664,0.8668,0.7607,0.8433,88.32%,11.68%,13.32%,86.68%
0.3763,0.863,0.765,0.8414,88.65%,11.35%,13.70%,86.30%
0.3862,0.8617,0.7727,0.8423,89.14%,10.86%,13.83%,86.17%
0.3961,0.8566,0.777,0.8394,89.47%,10.53%,14.34%,85.66%
0.406,0.8528,0.7771,0.8365,89.53%,10.47%,14.72%,85.28%
0.4159,0.8515,0.7805,0.8363,89.75%,10.25%,14.85%,85.15%
0.4258,0.8451,0.7838,0.8321,90.02%,9.98%,15.49%,84.51%
0.4357,0.8399,0.7875,0.8289,90.30%,9.70%,16.01%,83.99%
0.4456,0.8361,0.7906,0.8266,90.52%,9.48%,16.39%,83.61%
0.4555,0.8348,0.7942,0.8264,90.73%,9.27%,16.52%,83.48%
0.4654,0.8335,0.7988,0.8264,91.01%,8.99%,16.65%,83.35%
0.4753,0.8284,0.8007,0.8227,91.17%,8.83%,17.16%,82.84%
0.4852,0.822,0.8035,0.8183,91.39%,8.61%,17.80%,82.20%
0.4951,0.8169,0.8096,0.8154,91.78%,8.22%,18.31%,81.69%
0.5049,0.8131,0.8162,0.8137,92.16%,7.84%,18.69%,81.31%
0.5148,0.8092,0.8208,0.8115,92.43%,7.57%,19.08%,80.92%
0.5247,0.8079,0.8238,0.8111,92.60%,7.40%,19.21%,80.79%
0.5346,0.8054,0.8265,0.8095,92.76%,7.24%,19.46%,80.54%
0.5445,0.8015,0.8324,0.8075,93.09%,6.91%,19.85%,80.15%
0.5544,0.8003,0.8356,0.8071,93.26%,6.74%,19.97%,80.03%
0.5643,0.799,0.8376,0.8064,93.37%,6.63%,20.10%,79.90%
