Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,HR,93.0,0-1,0-2,0-2,175.514572,860.117249,
0,1,0-1,MAP,78.6699982,0-3,0-4,0-4,85.2942123,555.210327,
0,2,0-2,HR,109.5,0-5,0-6,0-6,31.1943588,304.906921,
0,3,0-3,HospAdmTime,-0.100000001,0-7,0-8,0-8,24.7667809,279.358765,
0,4,0-4,HospAdmTime,-1.08000004,0-9,0-10,0-10,44.3932953,275.851562,
0,5,0-5,HospAdmTime,-2.92000008,0-11,0-12,0-12,27.8773308,206.450378,
0,6,0-6,MAP,78.0,0-13,0-14,0-14,5.77340698,98.4565277,
0,7,0-7,HospAdmTime,-18.9699993,0-15,0-16,0-16,39.1921844,187.474335,
0,8,0-8,DBP,49.3962173,0-17,0-18,0-18,13.9013672,91.8844376,
0,9,0-9,HospAdmTime,-125.120003,0-19,0-20,0-20,30.7875977,174.694016,
0,10,0-10,BaseExcess,1.79117644,0-21,0-22,0-22,8.40788269,101.157547,
0,11,0-11,MAP,84.5,0-23,0-24,0-24,33.5535126,126.795479,
0,12,0-12,AST,403.764496,0-25,0-26,0-26,11.392437,79.6548996,
0,13,0-13,Glucose,135.0,0-27,0-28,0-28,5.50595856,42.287426,
0,14,0-14,Phosphate,3.65471983,0-29,0-30,0-30,10.1799355,56.1691055,
0,15,0-15,Leaf,,,,,0.0254117791,107.827499,
0,16,0-16,Leaf,,,,,-0.0665944517,79.646843,
0,17,0-17,Leaf,,,,,0.12600404,17.9199524,
0,18,0-18,Leaf,,,,,0.0292524733,73.9644852,
0,19,0-19,Leaf,,,,,-0.00491286116,27.7927265,
0,20,0-20,Leaf,,,,,-0.119807892,146.901291,
0,21,0-21,Leaf,,,,,-0.0258845035,95.0667953,
0,22,0-22,Leaf,,,,,0.0871770307,6.09075499,
0,23,0-23,Leaf,,,,,0.0519614406,76.6824646,
0,24,0-24,Leaf,,,,,-0.0523818843,50.113018,
0,25,0-25,Leaf,,,,,0.106534891,61.0552368,
0,26,0-26,Leaf,,,,,0.0163233504,18.5996609,
0,27,0-27,Leaf,,,,,0.0798132941,14.8087358,
0,28,0-28,Leaf,,,,,0.164886028,27.4786892,
0,29,0-29,Leaf,,,,,0.102666177,47.287426,
0,30,0-30,Leaf,,,,,-0.012514486,8.88167953,
