threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0496,0.9591,0.501,0.8108,59.07%,40.93%,4.09%,95.91%
0.0595,0.954,0.5195,0.8173,62.19%,37.81%,4.60%,95.40%
0.0694,0.9501,0.5368,0.8234,64.88%,35.12%,4.99%,95.01%
0.0793,0.945,0.5494,0.8261,66.79%,33.21%,5.50%,94.50%
0.0892,0.9437,0.5681,0.8335,69.26%,30.74%,5.63%,94.37%
0.0991,0.9348,0.5779,0.832,70.74%,29.26%,6.52%,93.48%
0.109,0.9335,0.5916,0.8368,72.38%,27.62%,6.65%,93.35%
0.1189,0.9284,0.607,0.8395,74.25%,25.75%,7.16%,92.84%
0.1288,0.9246,0.6227,0.8429,76.00%,24.00%,7.54%,92.46%
0.1387,0.922,0.6352,0.8456,77.32%,22.68%,7.80%,92.20%
0.1486,0.9194,0.6425,0.8465,78.08%,21.92%,8.06%,91.94%
0.1585,0.9182,0.6486,0.8477,78.68%,21.32%,8.18%,91.82%
0.1684,0.9143,0.6596,0.8488,79.78%,20.22%,8.57%,91.43%
0.1783,0.9092,0.6664,0.8474,80.49%,19.51%,9.08%,90.92%
0.1882,0.9041,0.6733,0.8461,81.21%,18.79%,9.59%,90.41%
0.1981,0.9041,0.6824,0.8489,81.97%,18.03%,9.59%,90.41%
0.208,0.9041,0.6904,0.8514,82.63%,17.37%,9.59%,90.41%
0.2179,0.899,0.6988,0.8503,83.40%,16.60%,10.10%,89.90%
0.2278,0.8939,0.7068,0.8489,84.11%,15.89%,10.61%,89.39%
0.2377,0.8926,0.7152,0.8504,84.77%,15.23%,10.74%,89.26%
0.2476,0.89,0.7183,0.8494,85.04%,14.96%,11.00%,89.00%
0.2575,0.89,0.725,0.8513,85.53%,14.47%,11.00%,89.00%
0.2674,0.8875,0.729,0.8505,85.86%,14.14%,11.25%,88.75%
0.2773,0.8836,0.7335,0.8489,86.25%,13.75%,11.64%,88.36%
0.2872,0.8785,0.7411,0.8471,86.85%,13.15%,12.15%,87.85%
0.2971,0.8734,0.7424,0.8436,87.01%,12.99%,12.66%,87.34%
0.307,0.8721,0.747,0.8439,87.34%,12.66%,12.79%,87.21%
0.3169,0.8708,0.75,0.8437,87.56%,12.44%,12.92%,87.08%
0.3268,0.8619,0.7531,0.8377,87.89%,12.11%,13.81%,86.19%
0.3367,0.8593,0.7576,0.8369,88.22%,11.78%,14.07%,85.93%
0.3466,0.8542,0.7617,0.834,88.55%,11.45%,14.58%,85.42%
0.3565,0.8504,0.7644,0.8317,88.77%,11.23%,14.96%,85.04%
0.3664,0.844,0.7701,0.8281,89.21%,10.79%,15.60%,84.40%
0.3763,0.8402,0.7757,0.8264,89.59%,10.41%,15.98%,84.02%
0.3862,0.8389,0.7838,0.8272,90.08%,9.92%,16.11%,83.89%
0.3961,0.8338,0.7893,0.8245,90.47%,9.53%,16.62%,83.38%
0.406,0.8312,0.7927,0.8232,90.68%,9.32%,16.88%,83.12%
0.4159,0.8286,0.798,0.8223,91.01%,8.99%,17.14%,82.86%
0.4258,0.8235,0.799,0.8185,91.12%,8.88%,17.65%,82.35%
0.4357,0.8197,0.8033,0.8164,91.40%,8.60%,18.03%,81.97%
0.4456,0.8184,0.8091,0.8165,91.73%,8.27%,18.16%,81.84%
0.4555,0.8159,0.8117,0.815,91.89%,8.11%,18.41%,81.59%
0.4654,0.8133,0.8164,0.8139,92.16%,7.84%,18.67%,81.33%
0.4753,0.8133,0.8185,0.8143,92.27%,7.73%,18.67%,81.33%
0.4852,0.812,0.8204,0.8137,92.38%,7.62%,18.80%,81.20%
0.4951,0.8095,0.8296,0.8134,92.88%,7.12%,19.05%,80.95%
0.5049,0.8082,0.8316,0.8128,92.99%,7.01%,19.18%,80.82%
0.5148,0.8043,0.832,0.8097,93.04%,6.96%,19.57%,80.43%
0.5247,0.7967,0.834,0.8039,93.21%,6.79%,20.33%,79.67%
0.5346,0.7941,0.8381,0.8025,93.42%,6.58%,20.59%,79.41%
0.5445,0.7877,0.8404,0.7977,93.59%,6.41%,21.23%,78.77%
0.5544,0.7852,0.8422,0.796,93.70%,6.30%,21.48%,78.52%
0.5643,0.7826,0.8465,0.7946,93.92%,6.08%,21.74%,78.26%
0.5742,0.7749,0.8487,0.7887,94.08%,5.92%,22.51%,77.49%
0.5841,0.7737,0.8521,0.7882,94.25%,5.75%,22.63%,77.37%
0.594,0.7711,0.8541,0.7864,94.36%,5.64%,22.89%,77.11%
0.6039,0.7673,0.8584,0.7839,94.58%,5.42%,23.27%,76.73%
0.6138,0.7647,0.8642,0.7827,94.85%,5.15%,23.53%,76.47%
0.6237,0.7634,0.8665,0.782,94.96%,5.04%,23.66%,76.34%
0.6336,0.7609,0.8724,0.7808,95.23%,4.77%,23.91%,76.09%
0.6435,0.757,0.8732,0.7777,95.29%,4.71%,24.30%,75.70%
0.6534,0.7519,0.875,0.7737,95.40%,4.60%,24.81%,75.19%
0.6633,0.7519,0.8802,0.7745,95.62%,4.38%,24.81%,75.19%
