threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.1486,0.8377,0.1808,0.4852,81.71%,18.29%,16.23%,83.77%
0.1585,0.8238,0.1937,0.4991,83.47%,16.53%,17.62%,82.38%
0.1684,0.8093,0.2062,0.5106,84.98%,15.02%,19.07%,80.93%
0.1783,0.7966,0.2196,0.5222,86.36%,13.64%,20.34%,79.66%
0.1882,0.7832,0.2332,0.5321,87.58%,12.42%,21.68%,78.32%
0.1981,0.7695,0.2472,0.5409,88.71%,11.29%,23.05%,76.95%
0.208,0.7539,0.2606,0.5469,89.69%,10.31%,24.61%,75.39%
0.2179,0.7428,0.2766,0.5555,90.63%,9.37%,25.72%,74.28%
0.2278,0.7301,0.2915,0.5612,91.45%,8.55%,26.99%,73.01%
0.2377,0.7167,0.3067,0.5655,92.19%,7.81%,28.33%,71.67%
0.2476,0.7022,0.3218,0.568,92.87%,7.13%,29.78%,70.22%
0.2575,0.6897,0.3386,0.5713,93.51%,6.49%,31.03%,68.97%
0.2674,0.6753,0.3536,0.5713,94.05%,5.95%,32.47%,67.53%
0.2773,0.6621,0.3719,0.5727,94.61%,5.39%,33.79%,66.21%
0.2872,0.6503,0.3894,0.5735,95.08%,4.92%,34.97%,65.03%
0.2971,0.635,0.4052,0.5703,95.51%,4.49%,36.50%,63.50%
0.307,0.6233,0.4239,0.5697,95.92%,4.08%,37.67%,62.33%
0.3169,0.6102,0.4419,0.567,96.29%,3.71%,38.98%,61.02%
0.3268,0.5964,0.4576,0.5623,96.59%,3.41%,40.36%,59.64%
0.3367,0.5852,0.476,0.5595,96.90%,3.10%,41.48%,58.52%
0.3466,0.5718,0.496,0.5548,97.20%,2.80%,42.82%,57.18%
0.3565,0.5591,0.5145,0.5496,97.46%,2.54%,44.09%,55.91%
