threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.1486,0.8507,0.1831,0.492,81.71%,18.29%,14.93%,85.07%
0.1585,0.8362,0.1967,0.5066,83.54%,16.46%,16.38%,83.62%
0.1684,0.8215,0.2095,0.5186,85.06%,14.94%,17.85%,82.15%
0.1783,0.8044,0.2225,0.5282,86.45%,13.55%,19.56%,80.44%
0.1882,0.79,0.2361,0.5377,87.68%,12.32%,21.00%,79.00%
0.1981,0.7758,0.2508,0.5468,88.83%,11.17%,22.42%,77.58%
0.208,0.7609,0.2658,0.5544,89.87%,10.13%,23.91%,76.09%
0.2179,0.7482,0.2807,0.5613,90.76%,9.24%,25.18%,74.82%
0.2278,0.7358,0.297,0.568,91.61%,8.39%,26.42%,73.58%
0.2377,0.7204,0.3125,0.5712,92.36%,7.64%,27.96%,72.04%
0.2476,0.7068,0.3291,0.5748,93.05%,6.95%,29.32%,70.68%
0.2575,0.69,0.3431,0.5739,93.63%,6.37%,31.00%,69.00%
0.2674,0.6764,0.3592,0.5749,94.18%,5.82%,32.36%,67.64%
0.2773,0.6616,0.375,0.5739,94.69%,5.31%,33.84%,66.16%
0.2872,0.6479,0.3913,0.5728,95.14%,4.86%,35.21%,64.79%
0.2971,0.6348,0.4072,0.571,95.54%,4.46%,36.52%,63.48%
0.307,0.6192,0.4233,0.5668,95.93%,4.07%,38.08%,61.92%
0.3169,0.605,0.4388,0.5624,96.27%,3.73%,39.50%,60.50%
0.3268,0.5907,0.4541,0.5572,96.58%,3.42%,40.93%,59.07%
0.3367,0.5761,0.469,0.5509,96.86%,3.14%,42.39%,57.61%
0.3466,0.5626,0.4838,0.5449,97.11%,2.89%,43.74%,56.26%
