threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0595,0.9604,0.5165,0.8195,61.48%,38.52%,3.96%,96.04%
0.0694,0.9552,0.5347,0.8254,64.38%,35.62%,4.48%,95.52%
0.0793,0.9501,0.5504,0.8296,66.74%,33.26%,4.99%,95.01%
0.0892,0.9463,0.5692,0.8356,69.32%,30.68%,5.37%,94.63%
0.0991,0.9361,0.5782,0.833,70.74%,29.26%,6.39%,93.61%
0.109,0.9348,0.5933,0.8383,72.55%,27.45%,6.52%,93.48%
0.1189,0.9309,0.6077,0.8414,74.25%,25.75%,6.91%,93.09%
0.1288,0.9271,0.6255,0.8456,76.22%,23.78%,7.29%,92.71%
0.1387,0.9246,0.6337,0.8468,77.10%,22.90%,7.54%,92.46%
0.1486,0.9207,0.6434,0.8477,78.14%,21.86%,7.93%,92.07%
0.1585,0.9182,0.6557,0.8501,79.34%,20.66%,8.18%,91.82%
0.1684,0.9156,0.6673,0.8522,80.44%,19.56%,8.44%,91.56%
0.1783,0.9092,0.6746,0.8501,81.21%,18.79%,9.08%,90.92%
0.1882,0.9066,0.6817,0.8505,81.86%,18.14%,9.34%,90.66%
0.1981,0.9041,0.6898,0.8512,82.58%,17.42%,9.59%,90.41%
0.208,0.9028,0.6956,0.852,83.07%,16.93%,9.72%,90.28%
0.2179,0.9003,0.7061,0.8533,83.95%,16.05%,9.97%,90.03%
0.2278,0.8977,0.7149,0.854,84.66%,15.34%,10.23%,89.77%
0.2377,0.8951,0.7202,0.8537,85.10%,14.90%,10.49%,89.51%
0.2476,0.8913,0.7245,0.8521,85.48%,14.52%,10.87%,89.13%
0.2575,0.8875,0.7313,0.8511,86.03%,13.97%,11.25%,88.75%
0.2674,0.8862,0.7372,0.8518,86.47%,13.53%,11.38%,88.62%
0.2773,0.8849,0.7401,0.8516,86.68%,13.32%,11.51%,88.49%
0.2872,0.8824,0.7443,0.8508,87.01%,12.99%,11.76%,88.24%
0.2971,0.8798,0.7519,0.8509,87.56%,12.44%,12.02%,87.98%
0.307,0.8747,0.7533,0.8474,87.73%,12.27%,12.53%,87.47%
0.3169,0.8734,0.7572,0.8474,88.00%,12.00%,12.66%,87.34%
0.3268,0.867,0.7601,0.8433,88.27%,11.73%,13.30%,86.70%
0.3367,0.8606,0.7622,0.8389,88.49%,11.51%,13.94%,86.06%
0.3466,0.8555,0.769,0.8367,88.99%,11.01%,14.45%,85.55%
0.3565,0.8491,0.7739,0.8329,89.37%,10.63%,15.09%,84.91%
0.3664,0.8427,0.7744,0.8281,89.48%,10.52%,15.73%,84.27%
0.3763,0.8389,0.7763,0.8256,89.64%,10.36%,16.11%,83.89%
0.3862,0.8376,0.7816,0.8258,89.97%,10.03%,16.24%,83.76%
0.3961,0.8363,0.788,0.8262,90.36%,9.64%,16.37%,83.63%
0.406,0.8312,0.7908,0.8228,90.58%,9.42%,16.88%,83.12%
0.4159,0.8286,0.7961,0.8219,90.90%,9.10%,17.14%,82.86%
0.4258,0.8286,0.802,0.8232,91.23%,8.77%,17.14%,82.86%
0.4357,0.8261,0.8025,0.8213,91.29%,8.71%,17.39%,82.61%
0.4456,0.8235,0.805,0.8198,91.45%,8.55%,17.65%,82.35%
0.4555,0.8235,0.8111,0.821,91.78%,8.22%,17.65%,82.35%
0.4654,0.821,0.821,0.821,92.33%,7.67%,17.90%,82.10%
0.4753,0.8171,0.8331,0.8203,92.99%,7.01%,18.29%,81.71%
0.4852,0.8133,0.8346,0.8175,93.10%,6.90%,18.67%,81.33%
0.4951,0.812,0.8411,0.8177,93.42%,6.58%,18.80%,81.20%
0.5049,0.8107,0.842,0.8168,93.48%,6.52%,18.93%,81.07%
0.5148,0.8069,0.8425,0.8138,93.53%,6.47%,19.31%,80.69%
0.5247,0.8056,0.8445,0.8131,93.64%,6.36%,19.44%,80.56%
0.5346,0.8018,0.8462,0.8103,93.75%,6.25%,19.82%,80.18%
0.5445,0.798,0.8501,0.8079,93.97%,6.03%,20.20%,79.80%
0.5544,0.7954,0.8521,0.8061,94.08%,5.92%,20.46%,79.54%
0.5643,0.7916,0.8562,0.8037,94.30%,5.70%,20.84%,79.16%
0.5742,0.789,0.8581,0.8019,94.41%,5.59%,21.10%,78.90%
0.5841,0.7864,0.8601,0.8002,94.52%,5.48%,21.36%,78.64%
0.594,0.7839,0.8622,0.7984,94.63%,5.37%,21.61%,78.39%
0.6039,0.7813,0.8654,0.7968,94.79%,5.21%,21.87%,78.13%
0.6138,0.7788,0.8688,0.7952,94.96%,5.04%,22.12%,77.88%
0.6237,0.7762,0.8721,0.7937,95.12%,4.88%,22.38%,77.62%
0.6336,0.7711,0.8777,0.7903,95.40%,4.60%,22.89%,77.11%
0.6435,0.7685,0.8774,0.7881,95.40%,4.60%,23.15%,76.85%
0.6534,0.7621,0.8804,0.7832,95.56%,4.44%,23.79%,76.21%
0.6633,0.7596,0.8839,0.7816,95.73%,4.27%,24.04%,75.96%
0.6732,0.7545,0.8872,0.7777,95.89%,4.11%,24.55%,75.45%
0.6831,0.7519,0.8923,0.7763,96.11%,3.89%,24.81%,75.19%
0.693,0.7494,0.896,0.7747,96.27%,3.73%,25.06%,74.94%
0.7029,0.7481,0.9028,0.7746,96.55%,3.45%,25.19%,74.81%
0.7128,0.7455,0.9025,0.7724,96.55%,3.45%,25.45%,74.55%
0.7227,0.7391,0.9017,0.7668,96.55%,3.45%,26.09%,73.91%
0.7326,0.7327,0.9038,0.7616,96.66%,3.34%,26.73%,73.27%
0.7425,0.7302,0.9035,0.7593,96.66%,3.34%,26.98%,73.02%
0.7524,0.7289,0.9048,0.7584,96.71%,3.29%,27.11%,72.89%
0.7623,0.7276,0.9089,0.7579,96.88%,3.12%,27.24%,72.76%
0.7722,0.7225,0.9098,0.7535,96.93%,3.07%,27.75%,72.25%
