Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,HR,92.5,0-1,0-2,0-2,4362.04004,82224.4844,
0,1,0-1,MAP,79.5,0-3,0-4,0-4,1377.16321,50166.168,
0,2,0-2,HR,112.0,0-5,0-6,0-6,697.679443,32058.3164,
0,3,0-3,BaseExcess,-0.431818187,0-7,0-8,0-8,321.107422,26327.5703,
0,4,0-4,HospAdmTime,-1.36000001,0-9,0-10,0-10,1253.21387,23838.5957,
0,5,0-5,MAP,69.3300018,0-11,0-12,0-12,474.006531,22669.2441,
0,6,0-6,DBP,57.8825531,0-13,0-14,0-14,279.468262,9389.07324,
0,7,0-7,Chloride,105.638832,0-15,0-16,0-16,354.462921,16773.2383,
0,8,0-8,BaseExcess,1.79117644,0-17,0-18,0-18,247.276215,9554.33203,
0,9,0-9,HR,76.0,0-19,0-20,0-20,823.469238,12511.8037,
0,10,0-10,Platelets,189.533051,0-21,0-22,0-22,265.633118,11326.792,
0,11,0-11,Bilirubin_total,4.12035942,0-23,0-24,0-24,141.626587,5005.84668,
0,12,0-12,HospAdmTime,-0.0900000036,0-25,0-26,0-26,339.009491,17663.3965,
0,13,0-13,Hct,29.4188595,0-27,0-28,0-28,138.546631,2759.60327,
0,14,0-14,HospAdmTime,0.0,0-29,0-30,0-30,237.53186,6629.47021,
0,15,0-15,Leaf,,,,,0.024575267,6312.24902,
0,16,0-16,Leaf,,,,,-0.00542936521,10460.9902,
0,17,0-17,Leaf,,,,,-0.0225774553,8563.20996,
0,18,0-18,Leaf,,,,,0.0301620718,991.122314,
0,19,0-19,Leaf,,,,,-0.0906780884,4674.96289,
0,20,0-20,Leaf,,,,,-0.0376419909,7836.84033,
0,21,0-21,Leaf,,,,,0.00946373027,3928.43555,
0,22,0-22,Leaf,,,,,-0.0227085464,7398.35693,
0,23,0-23,Leaf,,,,,0.0420039184,4653.5459,
0,24,0-24,Leaf,,,,,0.107727326,352.30069,
0,25,0-25,Leaf,,,,,0.00100981526,11001.5527,
0,26,0-26,Leaf,,,,,0.0295922998,6661.84424,
0,27,0-27,Leaf,,,,,0.105166256,1150.48889,
0,28,0-28,Leaf,,,,,0.0596373081,1609.1145,
0,29,0-29,Leaf,,,,,0.0365051441,6311.73682,
0,30,0-30,Leaf,,,,,0.125015691,317.733337,
