Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,ICULOS,54.0,0-1,0-2,0-2,4771.44727,81542.4688,
0,1,0-1,HR,93.0,0-3,0-4,0-4,3597.14917,55916.1992,
0,2,0-2,HR,84.0,0-5,0-6,0-6,683.382812,25626.2695,
0,3,0-3,FiO2,0.533364713,0-7,0-8,0-8,1322.88672,34987.1133,
0,4,0-4,ICULOS,13.0,0-9,0-10,0-10,979.56012,20929.084,
0,5,0-5,MAP,83.0,0-11,0-12,0-12,432.924835,9867.86328,
0,6,0-6,ICULOS,195.0,0-13,0-14,0-14,346.876221,15758.4053,
0,7,0-7,HospAdmTime,-2.25999999,0-15,0-16,0-16,902.987305,23087.4766,
0,8,0-8,HospAdmTime,-1.5,0-17,0-18,0-18,665.973511,11899.6357,
0,9,0-9,Hct,29.3720684,0-19,0-20,0-20,478.00415,7466.54736,
0,10,0-10,SaO2,91.7990265,0-21,0-22,0-22,592.218323,13462.5371,
0,11,0-11,TroponinI,11.3983545,0-23,0-24,0-24,173.468811,5842.19238,
0,12,0-12,TroponinI,13.5824442,0-25,0-26,0-26,231.024521,4025.67114,
0,13,0-13,pH,7.35002184,0-27,0-28,0-28,256.090576,14047.5234,
0,14,0-14,pH,7.39092731,0-29,0-30,0-30,80.5,1710.8822,
0,15,0-15,HospAdmTime,-34.8899994,0-31,0-32,0-32,1009.46631,12157.1738,
0,16,0-16,ICULOS,10.0,0-33,0-34,0-34,532.214844,10930.3027,
0,17,0-17,HCO3,23.9944115,0-35,0-36,0-36,323.290283,7367.38232,
0,18,0-18,PaCO2,41.7176361,0-37,0-38,0-38,228.354279,4532.25342,
0,19,0-19,Hct,29.1748848,0-39,0-40,0-40,116.361206,1849.10791,
0,20,0-20,HR,106.0,0-41,0-42,0-42,285.015686,5617.43945,
0,21,0-21,HospAdmTime,-769.929993,0-43,0-44,0-44,191.110931,3500.14429,
0,22,0-22,HR,115.0,0-45,0-46,0-46,415.339355,9962.39258,
0,23,0-23,HospAdmTime,-0.730000019,0-47,0-48,0-48,132.906006,4234.87061,
0,24,0-24,HR,66.0,0-49,0-50,0-50,311.218903,1607.3219,
0,25,0-25,ICULOS,188.0,0-51,0-52,0-52,264.773712,3683.66577,
0,26,0-26,HospAdmTime,-0.0399999991,0-53,0-54,0-54,122.618866,342.005585,
0,27,0-27,Magnesium,2.03344274,0-55,0-56,0-56,81.2585449,547.340271,
0,28,0-28,HR,125.5,0-57,0-58,0-58,224.037354,13500.1826,
0,29,0-29,ICULOS,241.0,0-59,0-60,0-60,65.5197754,1318.3573,
0,30,0-30,SOFA,6.0,0-61,0-62,0-62,31.0079346,392.524933,
0,31,0-31,Hct,31.1186275,0-63,0-64,0-64,335.829956,5728.05225,
0,32,0-32,pH,7.3860321,0-65,0-66,0-66,370.328125,6429.12207,
0,33,0-33,Lactate,3.11013508,0-67,0-68,0-68,259.134308,2815.31201,
0,34,0-34,pH,7.38059902,0-69,0-70,0-70,495.728516,8114.99121,
0,35,0-35,HospAdmTime,-403.079987,0-71,0-72,0-72,167.617737,3212.75439,
0,36,0-36,HospAdmTime,-33.0,0-73,0-74,0-74,329.327881,4154.62793,
0,37,0-37,Bilirubin_direct,0.606666684,0-75,0-76,0-76,209.576462,2992.20874,
0,38,0-38,PTT,46.0549011,0-77,0-78,0-78,226.970245,1540.04492,
0,39,0-39,HospAdmTime,-0.00999999978,0-79,0-80,0-80,128.967377,788.756165,
0,40,0-40,DBP,57.0305443,0-81,0-82,0-82,55.5395508,1060.35168,
