Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,HR,92.0,0-1,0-2,0-2,2747.59644,64429.2773,
0,1,0-1,MAP,77.5,0-3,0-4,0-4,1160.55359,37473.0078,
0,2,0-2,Hct,29.3427086,0-5,0-6,0-6,594.695923,26956.2715,
0,3,0-3,ICULOS,188.0,0-7,0-8,0-8,266.820435,17568.2285,
0,4,0-4,HospAdmTime,-2.11999989,0-9,0-10,0-10,778.621826,19904.7773,
0,5,0-5,ICULOS,14.0,0-11,0-12,0-12,207.78894,4499.49707,
0,6,0-6,HR,113.5,0-13,0-14,0-14,449.274658,22456.7754,
0,7,0-7,Phosphate,3.72770572,0-15,0-16,0-16,265.876251,16874.9844,
0,8,0-8,Fibrinogen,291.566925,0-17,0-18,0-18,98.0441589,693.244202,
0,9,0-9,ICULOS,78.0,0-19,0-20,0-20,281.780029,9727.05469,
0,10,0-10,ICULOS,10.0,0-21,0-22,0-22,497.842834,10177.7236,
0,11,0-11,Chloride,109.0,0-23,0-24,0-24,101.258667,1450.21545,
0,12,0-12,HospAdmTime,0.0,0-25,0-26,0-26,104.118225,3049.28149,
0,13,0-13,SaO2,91.2583923,0-27,0-28,0-28,421.395142,17116.959,
0,14,0-14,Hgb,9.97152328,0-29,0-30,0-30,199.908081,5339.81592,
0,15,0-15,ICULOS,56.0,0-31,0-32,0-32,221.372086,9765.51953,
0,16,0-16,HR,68.0,0-33,0-34,0-34,131.042206,7109.46533,
0,17,0-17,pH,7.37962294,0-35,0-36,0-36,82.9452209,386.718353,
0,18,0-18,TroponinI,11.8207588,0-37,0-38,0-38,88.9045105,306.525848,
0,19,0-19,O2Sat,92.9230804,0-39,0-40,0-40,214.502686,7373.10889,
0,20,0-20,Phosphate,3.49237657,0-41,0-42,0-42,134.427612,2353.94531,
0,21,0-21,Calcium,6.39703655,0-43,0-44,0-44,87.5198212,1865.77295,
0,22,0-22,SaO2,91.256958,0-45,0-46,0-46,409.805115,8311.95117,
0,23,0-23,HospAdmTime,-0.00999999978,0-47,0-48,0-48,67.7854004,1398.93384,
0,24,0-24,AST,141.455887,0-49,0-50,0-50,56.3234024,51.2816086,
0,25,0-25,O2Sat,96.2125015,0-51,0-52,0-52,93.4759521,2950.22388,
0,26,0-26,SaO2,91.89608,0-53,0-54,0-54,98.28508,99.0574646,
0,27,0-27,Bilirubin_direct,1.40499997,0-55,0-56,0-56,146.779419,2856.11475,
0,28,0-28,ICULOS,199.0,0-57,0-58,0-58,247.003098,14260.8447,
0,29,0-29,O2Sat,97.421051,0-59,0-60,0-60,107.524139,659.517212,
0,30,0-30,HospAdmTime,-0.00999999978,0-61,0-62,0-62,165.932007,4680.29883,
0,31,0-31,HR,78.0,0-63,0-64,0-64,212.475525,6814.97119,
0,32,0-32,TroponinI,11.3983545,0-65,0-66,0-66,210.893005,2950.54883,
0,33,0-33,ICULOS,15.0,0-67,0-68,0-68,140.721344,2004.82458,
0,34,0-34,HCO3,24.0260639,0-69,0-70,0-70,157.591614,5104.64062,
0,35,0-35,Lactate,2.36669612,0-71,0-72,0-72,70.6310196,165.413788,
0,36,0-36,Chloride,101.687096,0-73,0-74,0-74,20.0124207,221.304581,
0,37,0-37,HCO3,23.714529,0-75,0-76,0-76,46.2235489,260.258606,
0,38,0-38,SBP,75.0,0-77,0-78,0-78,32.5217209,46.2672424,
0,39,0-39,SBP,124.0,0-79,0-80,0-80,67.4666138,419.853424,
0,40,0-40,Hct,31.0926762,0-81,0-82,0-82,224.399902,6953.25537,
0,41,0-41,HospAdmTime,-137.889999,0-83,0-84,0-84,255.354523,1189.49133,
0,42,0-42,HospAdmTime,-53.1399994,0-85,0-86,0-86,98.8280334,1164.45398,
0,43,0-43,Fibrinogen,242.136368,0-87,0-88,0-88,13.9117889,54.8304558,
0,44,0-44,BUN,17.0347385,0-89,0-90,0-90,86.606781,1810.9425,
0,45,0-45,Chloride,105.715233,0-91,0-92,0-92,39.0459595,463.755737,
0,46,0-46,pH,7.38104868,0-93,0-94,0-94,233.455322,7848.19531,
0,47,0-47,TroponinI,33.1448898,0-95,0-96,0-96,99.4401855,1219.67517,
0,48,0-48,Magnesium,2.12853861,0-97,0-98,0-98,22.2757568,179.258606,
0,49,0-49,PTT,35.3484421,0-99,0-100,0-100,27.3531227,23.7758598,
0,50,0-50,Potassium,3.29999995,0-101,0-102,0-102,33.7907677,27.5057468,
0,51,0-51,ICULOS,75.0,0-103,0-104,0-104,75.5064697,1099.46252,
0,52,0-52,BUN,19.9573288,0-105,0-106,0-106,110.237473,1850.76135,
0,53,0-53,HR,123.0,0-107,0-108,0-108,76.9425278,71.2729874,
0,54,0-54,Chloride,104.5,0-109,0-110,0-110,24.0216789,27.784481,
0,55,0-55,HospAdmTime,-6.82000017,0-111,0-112,0-112,71.0074463,2185.30444,
0,56,0-56,FiO2,0.709999979,0-113,0-114,0-114,51.5229721,670.810303,
0,57,0-57,HospAdmTime,-0.0500000007,0-115,0-116,0-116,223.919785,13652.4336,
