Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,HR,96.5,0-1,0-2,0-2,284.654602,1756.32092,
0,1,0-1,HospAdmTime,-0.850000024,0-3,0-4,0-4,172.46814,1249.39075,
0,2,0-2,HospAdmTime,-3.02999997,0-5,0-6,0-6,47.3903809,506.930084,
0,3,0-3,HospAdmTime,-31.3099995,0-7,0-8,0-8,133.553574,780.562561,
0,4,0-4,O2Sat,98.5,0-9,0-10,0-10,33.3941345,468.828186,
0,5,0-5,HospAdmTime,-78.6999969,0-11,0-12,0-12,43.8426056,284.289429,
0,6,0-6,HR,105.5,0-13,0-14,0-14,17.9275665,222.640671,
0,7,0-7,MAP,68.0,0-15,0-16,0-16,44.1418381,341.466614,
0,8,0-8,DBP,49.0,0-17,0-18,0-18,57.5824585,439.095978,
0,9,0-9,Potassium,3.8499999,0-19,0-20,0-20,27.1490784,284.130981,
0,10,0-10,Bilirubin_direct,5.48000002,0-21,0-22,0-22,12.6699486,184.69722,
0,11,0-11,pH,7.40999985,0-23,0-24,0-24,8.19104004,119.4944,
0,12,0-12,SBP,103.0,0-25,0-26,0-26,35.1923447,164.795029,
0,13,0-13,AST,411.380951,0-27,0-28,0-28,24.9604759,99.2315826,
0,14,0-14,MAP,79.3300018,0-29,0-30,0-30,6.15005493,123.409088,
0,15,0-15,Leaf,,,,,0.0515537374,92.6365814,
0,16,0-16,Leaf,,,,,-0.0289556626,248.830032,
0,17,0-17,Leaf,,,,,0.0256943293,38.5856323,
0,18,0-18,Leaf,,,,,-0.10161116,400.510345,
0,19,0-19,Leaf,,,,,0.129450455,14.5918789,
0,20,0-20,Leaf,,,,,-0.00625484437,269.539093,
0,21,0-21,Leaf,,,,,0.0595124364,181.222534,
0,22,0-22,Leaf,,,,,-0.112871006,3.47468758,
0,23,0-23,Leaf,,,,,0.0727572963,109.025955,
0,24,0-24,Leaf,,,,,0.165121675,10.4684401,
0,25,0-25,Leaf,,,,,0.0801990256,42.4053192,
0,26,0-26,Leaf,,,,,-0.0244919918,122.389702,
0,27,0-27,Leaf,,,,,0.0880677253,82.0859528,
0,28,0-28,Leaf,,,,,-0.0424826704,17.1456261,
0,29,0-29,Leaf,,,,,0.148972288,57.7915764,
0,30,0-30,Leaf,,,,,0.0994258448,65.6175156,
