Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,ICULOS,54.0,0-1,0-2,0-2,644.386719,25065.75,
0,1,0-1,HR,105.5,0-3,0-4,0-4,410.701172,18321.1484,
0,2,0-2,Lactate,4.77722216,0-5,0-6,0-6,194.929504,6744.60254,
0,3,0-3,FiO2,0.533364713,0-7,0-8,0-8,146.836426,15755.1924,
0,4,0-4,Lactate,2.80655241,0-9,0-10,0-10,98.62883,2565.95557,
0,5,0-5,ICULOS,195.0,0-11,0-12,0-12,150.079651,6727.60449,
0,6,0-6,Age,21.9599991,0-13,0-14,0-14,15.9719696,16.9976959,
0,7,0-7,WBC,11.166316,0-15,0-16,0-16,87.1572266,10640.1396,
0,8,0-8,ICULOS,14.0,0-17,0-18,0-18,83.3726807,5115.05273,
0,9,0-9,Resp,26.0,0-19,0-20,0-20,44.5497589,1424.32336,
0,10,0-10,Potassium,4.10024977,0-21,0-22,0-22,60.3913193,1141.6322,
0,11,0-11,HR,84.0,0-23,0-24,0-24,113.537292,6149.82227,
0,12,0-12,pH,7.39168501,0-25,0-26,0-26,71.5962372,577.782349,
0,13,0-13,HR,73.5,0-27,0-28,0-28,6.92382908,2.92583299,
0,14,0-14,BUN,31.5879517,0-29,0-30,0-30,17.3906708,14.0718632,
0,15,0-15,Resp,5.36842108,0-31,0-32,0-32,43.6672363,5896.66797,
0,16,0-16,ICULOS,15.0,0-33,0-34,0-34,47.0928955,4743.47168,
0,17,0-17,Resp,30.0,0-35,0-36,0-36,72.5673523,1833.66138,
0,18,0-18,Age,34.0,0-37,0-38,0-38,40.0963135,3281.39136,
0,19,0-19,ICULOS,15.0,0-39,0-40,0-40,37.7726135,1121.15137,
0,20,0-20,Calcium,7.00022221,0-41,0-42,0-42,22.1502972,303.172028,
0,21,0-21,ICULOS,22.0,0-43,0-44,0-44,15.0500679,313.482117,
0,22,0-22,ICULOS,24.0,0-45,0-46,0-46,42.5370712,828.150085,
0,23,0-23,MAP,70.0,0-47,0-48,0-48,66.1794739,2585.46118,
0,24,0-24,Resp,24.5,0-49,0-50,0-50,104.280396,3564.36108,
