threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0595,0.9629,0.505,0.8151,59.59%,40.41%,3.71%,96.29%
0.0694,0.9577,0.5231,0.8213,62.61%,37.39%,4.23%,95.77%
0.0793,0.9565,0.5437,0.8304,65.62%,34.38%,4.35%,95.65%
0.0892,0.9501,0.5554,0.8318,67.43%,32.57%,4.99%,95.01%
0.0991,0.9488,0.57,0.8375,69.35%,30.65%,5.12%,94.88%
0.109,0.9437,0.5735,0.8358,69.96%,30.04%,5.63%,94.37%
0.1189,0.9398,0.5858,0.8385,71.55%,28.45%,6.02%,93.98%
0.1288,0.9321,0.5943,0.837,72.75%,27.25%,6.79%,93.21%
0.1387,0.9296,0.606,0.8399,74.12%,25.88%,7.04%,92.96%
0.1486,0.9245,0.6134,0.8393,75.05%,24.95%,7.55%,92.45%
0.1585,0.9181,0.6229,0.8386,76.21%,23.79%,8.19%,91.81%
0.1684,0.9155,0.6344,0.841,77.41%,22.59%,8.45%,91.55%
0.1783,0.9129,0.6447,0.8428,78.45%,21.55%,8.71%,91.29%
0.1882,0.9104,0.6487,0.8424,78.89%,21.11%,8.96%,91.04%
0.1981,0.9078,0.6547,0.8426,79.50%,20.50%,9.22%,90.78%
0.208,0.9065,0.6611,0.8439,80.10%,19.90%,9.35%,90.65%
0.2179,0.904,0.6673,0.8441,80.70%,19.30%,9.60%,90.40%
0.2278,0.9001,0.6695,0.8421,80.98%,19.02%,9.99%,90.01%
0.2377,0.8963,0.675,0.8411,81.52%,18.48%,10.37%,89.63%
0.2476,0.8899,0.68,0.8382,82.07%,17.93%,11.01%,88.99%
0.2575,0.8886,0.6878,0.8396,82.73%,17.27%,11.14%,88.86%
0.2674,0.8873,0.6951,0.8408,83.33%,16.67%,11.27%,88.73%
0.2773,0.8848,0.7015,0.8408,83.88%,16.12%,11.52%,88.48%
0.2872,0.8822,0.7052,0.84,84.21%,15.79%,11.78%,88.22%
0.2971,0.8809,0.7107,0.8407,84.65%,15.35%,11.91%,88.09%
0.307,0.8784,0.7183,0.8409,85.25%,14.75%,12.16%,87.84%
0.3169,0.8732,0.7202,0.8376,85.47%,14.53%,12.68%,87.32%
0.3268,0.872,0.7252,0.8381,85.86%,14.14%,12.80%,87.20%
0.3367,0.8668,0.728,0.835,86.13%,13.87%,13.32%,86.68%
0.3466,0.8643,0.7289,0.8333,86.24%,13.76%,13.57%,86.43%
0.3565,0.8592,0.7309,0.83,86.46%,13.54%,14.08%,85.92%
0.3664,0.8553,0.7373,0.8288,86.95%,13.05%,14.47%,85.53%
0.3763,0.854,0.7411,0.8288,87.23%,12.77%,14.60%,85.40%
0.3862,0.8515,0.7438,0.8275,87.45%,12.55%,14.85%,85.15%
0.3961,0.8489,0.75,0.8271,87.88%,12.12%,15.11%,84.89%
0.406,0.8425,0.7537,0.8231,88.21%,11.79%,15.75%,84.25%
0.4159,0.8387,0.7581,0.8212,88.54%,11.46%,16.13%,83.87%
0.4258,0.8387,0.7599,0.8216,88.65%,11.35%,16.13%,83.87%
0.4357,0.8374,0.7676,0.8224,89.14%,10.86%,16.26%,83.74%
0.4456,0.8335,0.7704,0.8201,89.36%,10.64%,16.65%,83.35%
0.4555,0.8297,0.7733,0.8178,89.58%,10.42%,17.03%,82.97%
0.4654,0.8284,0.7776,0.8177,89.86%,10.14%,17.16%,82.84%
0.4753,0.8207,0.7798,0.8122,90.08%,9.92%,17.93%,82.07%
0.4852,0.8195,0.7872,0.8128,90.52%,9.48%,18.05%,81.95%
0.4951,0.8169,0.7886,0.8111,90.62%,9.38%,18.31%,81.69%
0.5049,0.8131,0.7898,0.8083,90.73%,9.27%,18.69%,81.31%
