threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.1486,0.8529,0.1842,0.4942,81.80%,18.20%,14.71%,85.29%
0.1585,0.8393,0.1977,0.509,83.59%,16.41%,16.07%,83.93%
0.1684,0.8253,0.2124,0.5233,85.25%,14.75%,17.47%,82.53%
0.1783,0.8144,0.2274,0.5371,86.66%,13.34%,18.56%,81.44%
0.1882,0.8007,0.2421,0.5479,87.92%,12.08%,19.93%,80.07%
0.1981,0.7872,0.2578,0.558,89.08%,10.92%,21.28%,78.72%
0.208,0.773,0.2734,0.5661,90.10%,9.90%,22.70%,77.30%
0.2179,0.7595,0.29,0.5737,91.04%,8.96%,24.05%,75.95%
0.2278,0.7462,0.3069,0.5802,91.88%,8.12%,25.38%,74.62%
0.2377,0.7295,0.3232,0.583,92.64%,7.36%,27.05%,72.95%
0.2476,0.7151,0.3401,0.5859,93.31%,6.69%,28.49%,71.51%
0.2575,0.6979,0.3562,0.5856,93.92%,6.08%,30.21%,69.79%
0.2674,0.6827,0.3725,0.5853,94.46%,5.54%,31.73%,68.27%
0.2773,0.6693,0.3898,0.5853,94.95%,5.05%,33.07%,66.93%
0.2872,0.6519,0.408,0.5823,95.44%,4.56%,34.81%,65.19%
0.2971,0.6364,0.4237,0.5784,95.83%,4.17%,36.36%,63.64%
0.307,0.6226,0.4411,0.5753,96.20%,3.80%,37.74%,62.26%
0.3169,0.6109,0.4589,0.5729,96.53%,3.47%,38.91%,61.09%
0.3268,0.5973,0.4746,0.5679,96.81%,3.19%,40.27%,59.73%
0.3367,0.5835,0.4913,0.5624,97.09%,2.91%,41.65%,58.35%
0.3466,0.5681,0.5084,0.5551,97.35%,2.65%,43.19%,56.81%
0.3565,0.5549,0.5273,0.5492,97.60%,2.40%,44.51%,55.49%
