Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,ICULOS,16.0,0-1,0-2,0-2,1572.6311,49934.418,
0,1,0-1,HR,91.5,0-3,0-4,0-4,404.482666,13144.5371,
0,2,0-2,Temp,38.0,0-5,0-6,0-6,1215.04443,36789.8828,
0,3,0-3,Phosphate,3.54076934,0-7,0-8,0-8,317.131958,7481.91211,
0,4,0-4,HospAdmTime,0.0,0-9,0-10,0-10,268.578857,5662.625,
0,5,0-5,Resp,23.0,0-11,0-12,0-12,882.816833,34092.043,
0,6,0-6,SaO2,93.9364853,0-13,0-14,0-14,153.01947,2697.84033,
0,7,0-7,TroponinI,12.9029074,0-15,0-16,0-16,146.369278,3285.49951,
0,8,0-8,Calcium,7.7379775,0-17,0-18,0-18,166.033691,4196.4126,
0,9,0-9,WBC,11.166316,0-19,0-20,0-20,230.823914,5265.33936,
0,10,0-10,MAP,123.26667,0-21,0-22,0-22,29.5773315,397.285858,
0,11,0-11,MAP,69.5,0-23,0-24,0-24,763.10791,24345.8945,
0,12,0-12,HR,112.0,0-25,0-26,0-26,267.873596,9746.14844,
0,13,0-13,Temp,38.3300018,0-27,0-28,0-28,140.948608,1414.58398,
0,14,0-14,patient_id,21041.0,0-29,0-30,0-30,68.2463608,1283.25635,
0,15,0-15,Potassium,4.08395052,0-31,0-32,0-32,110.196495,2902.16333,
0,16,0-16,patient_id,9573.0,0-33,0-34,0-34,78.5620117,383.335999,
0,17,0-17,Resp,26.875,0-35,0-36,0-36,75.7182693,1891.86243,
0,18,0-18,Bilirubin_direct,0.79578948,0-37,0-38,0-38,82.9456177,2304.55029,
0,19,0-19,HospAdmTime,-871.77002,0-39,0-40,0-40,114.775169,701.469849,
0,20,0-20,TroponinI,12.3069448,0-41,0-42,0-42,139.667725,4563.86914,
0,21,0-21,Bilirubin_total,0.802999973,0-43,0-44,0-44,30.4643555,391.649048,
0,22,0-22,WBC,10.3387032,0-45,0-46,0-46,12.044138,5.63680458,
