threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0694,0.9616,0.5067,0.8152,59.92%,40.08%,3.84%,96.16%
0.0793,0.9565,0.5238,0.8209,62.77%,37.23%,4.35%,95.65%
0.0892,0.9501,0.5373,0.8235,64.97%,35.03%,4.99%,95.01%
0.0991,0.9462,0.5462,0.8253,66.34%,33.66%,5.38%,94.62%
0.109,0.9398,0.554,0.8249,67.60%,32.40%,6.02%,93.98%
0.1189,0.9385,0.5643,0.8286,68.97%,31.03%,6.15%,93.85%
0.1288,0.936,0.5742,0.8312,70.29%,29.71%,6.40%,93.60%
0.1387,0.9321,0.5852,0.8333,71.71%,28.29%,6.79%,93.21%
0.1486,0.9245,0.5977,0.8333,73.36%,26.64%,7.55%,92.45%
0.1585,0.9232,0.6079,0.8364,74.51%,25.49%,7.68%,92.32%
0.1684,0.9206,0.6161,0.8378,75.44%,24.56%,7.94%,92.06%
0.1783,0.9142,0.6236,0.8363,76.37%,23.63%,8.58%,91.42%
0.1882,0.9091,0.63,0.8351,77.14%,22.86%,9.09%,90.91%
0.1981,0.904,0.6349,0.8333,77.74%,22.26%,9.60%,90.40%
0.208,0.8988,0.644,0.8329,78.73%,21.27%,10.12%,89.88%
0.2179,0.8988,0.6488,0.8345,79.17%,20.83%,10.12%,89.88%
0.2278,0.8937,0.6536,0.8325,79.71%,20.29%,10.63%,89.37%
0.2377,0.8924,0.6625,0.8345,80.54%,19.46%,10.76%,89.24%
0.2476,0.8912,0.6699,0.8359,81.20%,18.80%,10.88%,89.12%
0.2575,0.8886,0.6758,0.8359,81.74%,18.26%,11.14%,88.86%
0.2674,0.886,0.6764,0.8343,81.85%,18.15%,11.40%,88.60%
0.2773,0.8822,0.6822,0.8333,82.40%,17.60%,11.78%,88.22%
0.2872,0.8796,0.6877,0.8331,82.89%,17.11%,12.04%,87.96%
0.2971,0.8784,0.695,0.8343,83.50%,16.50%,12.16%,87.84%
0.307,0.8707,0.696,0.8291,83.72%,16.28%,12.93%,87.07%
0.3169,0.8694,0.7051,0.8307,84.43%,15.57%,13.06%,86.94%
0.3268,0.8694,0.7066,0.8311,84.54%,15.46%,13.06%,86.94%
0.3367,0.8668,0.7119,0.8307,84.98%,15.02%,13.32%,86.68%
0.3466,0.8643,0.715,0.8296,85.25%,14.75%,13.57%,86.43%
0.3565,0.8643,0.7196,0.8309,85.58%,14.42%,13.57%,86.43%
0.3664,0.8643,0.7227,0.8317,85.80%,14.20%,13.57%,86.43%
0.3763,0.863,0.7263,0.8317,86.07%,13.93%,13.70%,86.30%
0.3862,0.8579,0.7346,0.83,86.73%,13.27%,14.21%,85.79%
0.3961,0.854,0.7362,0.8275,86.90%,13.10%,14.60%,85.40%
0.406,0.8528,0.7392,0.8273,87.12%,12.88%,14.72%,85.28%
0.4159,0.8451,0.7449,0.8229,87.61%,12.39%,15.49%,84.51%
0.4258,0.8425,0.7486,0.8219,87.88%,12.12%,15.75%,84.25%
0.4357,0.8361,0.7514,0.8177,88.16%,11.84%,16.39%,83.61%
0.4456,0.8323,0.7576,0.8162,88.60%,11.40%,16.77%,83.23%
0.4555,0.831,0.7635,0.8166,88.98%,11.02%,16.90%,83.10%
0.4654,0.8297,0.7696,0.8169,89.36%,10.64%,17.03%,82.97%
0.4753,0.8284,0.7702,0.8161,89.42%,10.58%,17.16%,82.84%
0.4852,0.8259,0.778,0.8158,89.91%,10.09%,17.41%,82.59%
0.4951,0.8233,0.7803,0.8143,90.08%,9.92%,17.67%,82.33%
0.5049,0.822,0.7839,0.8141,90.30%,9.70%,17.80%,82.20%
0.5148,0.8207,0.7865,0.8137,90.46%,9.54%,17.93%,82.07%
0.5247,0.8169,0.7945,0.8123,90.95%,9.05%,18.31%,81.69%
0.5346,0.8105,0.7992,0.8082,91.28%,8.72%,18.95%,81.05%
