threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.109,0.9149,0.1988,0.5317,82.22%,17.78%,8.51%,91.49%
0.1189,0.902,0.2168,0.5527,84.30%,15.70%,9.80%,90.20%
0.1288,0.8898,0.2346,0.5709,86.00%,14.00%,11.02%,88.98%
0.1387,0.8773,0.2527,0.5871,87.49%,12.51%,12.27%,87.73%
0.1486,0.8623,0.2716,0.6009,88.86%,11.14%,13.77%,86.23%
0.1585,0.8512,0.2922,0.6157,90.06%,9.94%,14.88%,85.12%
0.1684,0.8383,0.312,0.6268,91.09%,8.91%,16.17%,83.83%
0.1783,0.8258,0.3312,0.6359,91.96%,8.04%,17.42%,82.58%
0.1882,0.8151,0.3509,0.6445,92.73%,7.27%,18.49%,81.51%
0.1981,0.803,0.3696,0.6505,93.40%,6.60%,19.70%,80.30%
0.208,0.7917,0.3885,0.6556,93.99%,6.01%,20.83%,79.17%
0.2179,0.7814,0.4084,0.6607,94.54%,5.46%,21.86%,78.14%
0.2278,0.7727,0.4286,0.6658,95.04%,4.96%,22.73%,77.27%
0.2377,0.7615,0.4483,0.6682,95.48%,4.52%,23.85%,76.15%
0.2476,0.7497,0.4677,0.669,95.89%,4.11%,25.03%,74.97%
0.2575,0.7407,0.4869,0.6708,96.24%,3.76%,25.93%,74.07%
0.2674,0.7289,0.5037,0.669,96.54%,3.46%,27.11%,72.89%
0.2773,0.7158,0.5228,0.6666,96.85%,3.15%,28.42%,71.58%
0.2872,0.7038,0.5381,0.663,97.09%,2.91%,29.62%,70.38%
0.2971,0.6928,0.5564,0.6604,97.34%,2.66%,30.72%,69.28%
0.307,0.6829,0.5737,0.6578,97.55%,2.45%,31.71%,68.29%
0.3169,0.6702,0.589,0.6522,97.75%,2.25%,32.98%,67.02%
0.3268,0.6594,0.6064,0.6481,97.94%,2.06%,34.06%,65.94%
0.3367,0.649,0.6254,0.6441,98.13%,1.87%,35.10%,64.90%
0.3466,0.6397,0.6411,0.64,98.27%,1.73%,36.03%,63.97%
0.3565,0.6277,0.6556,0.6331,98.41%,1.59%,37.23%,62.77%
0.3664,0.6169,0.6686,0.6266,98.53%,1.47%,38.31%,61.69%
0.3763,0.6056,0.6823,0.6196,98.64%,1.36%,39.44%,60.56%
0.3862,0.5946,0.694,0.6122,98.74%,1.26%,40.54%,59.46%
0.3961,0.5828,0.7074,0.6041,98.84%,1.16%,41.72%,58.28%
0.406,0.5728,0.7224,0.5976,98.94%,1.06%,42.72%,57.28%
0.4159,0.5621,0.7359,0.5899,99.03%,0.97%,43.79%,56.21%
0.4258,0.5504,0.7477,0.581,99.10%,0.90%,44.96%,55.04%
