y_logits,y_probs,y_pred,y_test
-0.2619524,0.43488383,0.0,0
-0.17448354,0.45648944,0.0,1
-0.5891012,0.35684112,0.0,0
-0.2123645,0.44710752,0.0,0
-0.6583171,0.34111774,0.0,0
-0.538548,0.36852542,0.0,0
-0.3578264,0.41148585,0.0,0
-0.4655354,0.3856735,0.0,0
-0.49530932,0.37864363,0.0,0
-0.38503057,0.40491414,0.0,0
-0.27147186,0.43254578,0.0,0
-0.9346193,0.2819885,0.0,0
-0.41585413,0.39750925,0.0,0
4.6125126,0.9901708,1.0,1
-0.57084,0.36104304,0.0,0
-0.21433392,0.4466207,0.0,0
4.047861,0.98284,1.0,0
-0.26628557,0.43381923,0.0,0
-0.40577018,0.39992678,0.0,0
-0.20780107,0.44823587,0.0,0
-0.26692054,0.43366322,0.0,0
-0.5475928,0.36642304,0.0,0
-0.4143805,0.3978622,0.0,0
-0.45997742,0.38699117,0.0,0
-0.4602725,0.3869212,0.0,0
-0.5233069,0.37207928,0.0,0
-0.16769786,0.4581735,0.0,1
-0.2706689,0.43274286,0.0,0
-0.3671904,0.4092201,0.0,0
-0.25953656,0.43547767,0.0,0
-0.36315006,0.41019723,0.0,1
-0.5628055,0.36289856,0.0,0
-0.5596858,0.36362016,0.0,0
-0.2539944,0.4368406,0.0,0
-0.35059103,0.4132391,0.0,0
-0.57955223,0.35903564,0.0,0
4.452756,0.98848766,1.0,1
-0.2505188,0.4376958,0.0,0
-0.2529123,0.43710682,0.0,0
-0.3013344,0.4252313,0.0,1
-0.2169582,0.4459722,0.0,0
-0.4323526,0.3935647,0.0,0
-0.38143212,0.40578154,0.0,0
-0.5330835,0.369798,0.0,0
-0.50966996,0.37527093,0.0,1
-0.12129904,0.46971235,0.0,0
-0.30065,0.42539856,0.0,0
-0.29432783,0.42694467,0.0,0
-0.47123486,0.384324,0.0,0
-0.67540497,0.33728763,0.0,0
-0.39744583,0.40192616,0.0,0
-0.39446843,0.40264207,0.0,0
3.9545116,0.98119247,1.0,1
-0.40362582,0.4004415,0.0,0
-0.34197962,0.4153287,0.0,0
-0.44156265,0.3913687,0.0,0
-0.6197167,0.3498459,0.0,0
-0.14908609,0.46279737,0.0,0
-0.20943967,0.44783065,0.0,0
-0.5149275,0.3740391,0.0,0
-0.42529535,0.39525032,0.0,0
-0.30484173,0.4243743,0.0,0
-0.30340868,0.42472443,0.0,0
-0.30597675,0.4240971,0.0,0
-0.49739832,0.37815228,0.0,0
-0.74350864,0.32223737,0.0,0
-0.15421805,0.46152174,0.0,0
-0.7872673,0.31275573,0.0,0
-0.22808537,0.44322455,0.0,0
-0.528656,0.37083042,0.0,0
-0.6394892,0.34536204,0.0,0
-0.8592536,0.2974953,0.0,0
-0.80148125,0.30970877,0.0,0
-0.776236,0.31513166,0.0,0
-1.0028217,0.268387,0.0,0
-0.7130703,0.32892078,0.0,0
-0.53772074,0.36871797,0.0,0
-0.60097796,0.35412,0.0,0
-0.8138324,0.30707443,0.0,0
-0.5653368,0.3623135,0.0,0
-1.2481279,0.22302435,0.0,0
-0.36954018,0.40865213,0.0,0
-0.5272651,0.37115502,0.0,0
-0.2293491,0.44291276,0.0,0
-0.3837463,0.40522367,0.0,0
-0.6266507,0.34827036,0.0,0
-0.6067374,0.35280383,0.0,0
-0.15365028,0.46166286,0.0,0
-1.1386905,0.24256088,0.0,0
-0.64151496,0.34490415,0.0,0
-0.8811266,0.29294437,0.0,0
-0.5305459,0.37038955,0.0,0
-0.28128457,0.4301389,0.0,0
-0.15062082,0.46241584,0.0,0
-0.7951937,0.31105456,0.0,0
-0.6992709,0.3319739,0.0,0
-0.64095837,0.34502995,0.0,0
-0.63825977,0.34564003,0.0,0
-0.80901307,0.30810085,0.0,0
-0.41992158,0.39653552,0.0,0
-1.0424677,0.26067412,0.0,0
-1.0203273,0.26496366,0.0,0
-0.76546115,0.31746176,0.0,0
-0.698589,0.33212513,0.0,0
-0.0049843714,0.4987539,0.0,0
-0.989844,0.2709429,0.0,0
-0.6412038,0.34497446,0.0,0
-0.4590434,0.38721278,0.0,0
-0.58684725,0.35735857,0.0,0
-0.15453053,0.46144405,0.0,0
-0.7873001,0.3127487,0.0,0
-0.56670034,0.36199853,0.0,0
-0.39170346,0.4033073,0.0,0
-0.57630855,0.35978243,0.0,0
-0.4109375,0.39868733,0.0,0
-0.34456262,0.4147016,0.0,0
-0.96666765,0.2755452,0.0,0
-0.31855598,0.4210277,0.0,0
-0.8019807,0.309602,0.0,0
-0.9531552,0.27825072,0.0,0
-0.5675204,0.36180916,0.0,0
