threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0595,0.9655,0.5122,0.8203,60.58%,39.42%,3.45%,96.55%
0.0694,0.9591,0.5278,0.8244,63.21%,36.79%,4.09%,95.91%
0.0793,0.9488,0.5373,0.8228,64.97%,35.03%,5.12%,94.88%
0.0892,0.9412,0.5493,0.8236,66.89%,33.11%,5.88%,94.12%
0.0991,0.9348,0.5623,0.8254,68.80%,31.20%,6.52%,93.48%
0.109,0.9309,0.5728,0.8275,70.23%,29.77%,6.91%,93.09%
0.1189,0.9233,0.579,0.8251,71.22%,28.78%,7.67%,92.33%
0.1288,0.9207,0.5906,0.8282,72.64%,27.36%,7.93%,92.07%
0.1387,0.9156,0.6037,0.8299,74.23%,25.77%,8.44%,91.56%
0.1486,0.9118,0.6131,0.8308,75.33%,24.67%,8.82%,91.18%
0.1585,0.9066,0.6236,0.8312,76.54%,23.46%,9.34%,90.66%
0.1684,0.9041,0.6335,0.8329,77.58%,22.42%,9.59%,90.41%
0.1783,0.9003,0.6406,0.8327,78.34%,21.66%,9.97%,90.03%
0.1882,0.8964,0.6491,0.8329,79.22%,20.78%,10.36%,89.64%
0.1981,0.8887,0.6514,0.8284,79.61%,20.39%,11.13%,88.87%
0.208,0.8862,0.66,0.8293,80.43%,19.57%,11.38%,88.62%
0.2179,0.8862,0.6696,0.8323,81.25%,18.75%,11.38%,88.62%
0.2278,0.8824,0.6765,0.8317,81.91%,18.09%,11.76%,88.24%
0.2377,0.8798,0.6812,0.8313,82.35%,17.65%,12.02%,87.98%
0.2476,0.876,0.6843,0.8295,82.68%,17.32%,12.40%,87.60%
0.2575,0.8721,0.6924,0.8291,83.39%,16.61%,12.79%,87.21%
0.2674,0.8708,0.6963,0.8293,83.72%,16.28%,12.92%,87.08%
0.2773,0.8696,0.7032,0.8303,84.27%,15.73%,13.04%,86.96%
0.2872,0.867,0.7077,0.8297,84.65%,15.35%,13.30%,86.70%
0.2971,0.8632,0.7143,0.8286,85.20%,14.80%,13.68%,86.32%
0.307,0.8619,0.7178,0.8286,85.47%,14.53%,13.81%,86.19%
0.3169,0.8593,0.721,0.8276,85.75%,14.25%,14.07%,85.93%
0.3268,0.8593,0.7265,0.829,86.13%,13.87%,14.07%,85.93%
0.3367,0.8581,0.7309,0.8292,86.46%,13.54%,14.19%,85.81%
0.3466,0.8555,0.7352,0.8284,86.79%,13.21%,14.45%,85.55%
0.3565,0.8517,0.7351,0.8255,86.84%,13.16%,14.83%,85.17%
0.3664,0.8517,0.7408,0.8269,87.23%,12.77%,14.83%,85.17%
0.3763,0.8504,0.7447,0.8269,87.50%,12.50%,14.96%,85.04%
0.3862,0.844,0.7458,0.8223,87.66%,12.34%,15.60%,84.40%
0.3961,0.8402,0.7534,0.8212,88.21%,11.79%,15.98%,84.02%
0.406,0.835,0.7602,0.8189,88.71%,11.29%,16.50%,83.50%
0.4159,0.8299,0.7653,0.8161,89.09%,10.91%,17.01%,82.99%
0.4258,0.8248,0.7697,0.8132,89.42%,10.58%,17.52%,82.48%
0.4357,0.8248,0.7743,0.8142,89.69%,10.31%,17.52%,82.48%
0.4456,0.8223,0.7803,0.8135,90.08%,9.92%,17.77%,82.23%
0.4555,0.8223,0.7841,0.8143,90.30%,9.70%,17.77%,82.23%
0.4654,0.821,0.7897,0.8145,90.62%,9.38%,17.90%,82.10%
0.4753,0.821,0.7955,0.8158,90.95%,9.05%,17.90%,82.10%
0.4852,0.8184,0.801,0.8149,91.28%,8.72%,18.16%,81.84%
0.4951,0.8171,0.8038,0.8144,91.45%,8.55%,18.29%,81.71%
0.5049,0.8159,0.8076,0.8142,91.67%,8.33%,18.41%,81.59%
0.5148,0.812,0.8089,0.8114,91.78%,8.22%,18.80%,81.20%
0.5247,0.8095,0.8095,0.8095,91.83%,8.17%,19.05%,80.95%
0.5346,0.8031,0.8114,0.8047,92.00%,8.00%,19.69%,80.31%
0.5445,0.8005,0.8172,0.8038,92.32%,7.68%,19.95%,80.05%
0.5544,0.7992,0.817,0.8027,92.32%,7.68%,20.08%,79.92%
0.5643,0.7967,0.8165,0.8006,92.32%,7.68%,20.33%,79.67%
0.5742,0.7954,0.8206,0.8003,92.54%,7.46%,20.46%,79.54%
0.5841,0.7941,0.8269,0.8005,92.87%,7.13%,20.59%,79.41%
0.594,0.7916,0.8298,0.7989,93.04%,6.96%,20.84%,79.16%
0.6039,0.789,0.8327,0.7974,93.20%,6.80%,21.10%,78.90%
0.6138,0.7826,0.8327,0.7921,93.26%,6.74%,21.74%,78.26%
0.6237,0.7801,0.8345,0.7904,93.37%,6.63%,21.99%,78.01%
0.6336,0.7775,0.8421,0.7896,93.75%,6.25%,22.25%,77.75%
0.6435,0.7762,0.8454,0.7891,93.91%,6.09%,22.38%,77.62%
0.6534,0.7724,0.8483,0.7865,94.08%,5.92%,22.76%,77.24%
0.6633,0.7685,0.8549,0.7844,94.41%,5.59%,23.15%,76.85%
0.6732,0.7685,0.8573,0.7848,94.52%,5.48%,23.15%,76.85%
0.6831,0.766,0.8594,0.783,94.63%,5.37%,23.40%,76.60%
0.693,0.7609,0.8611,0.779,94.74%,5.26%,23.91%,76.09%
0.7029,0.7558,0.8653,0.7754,94.96%,5.04%,24.42%,75.58%
0.7128,0.7519,0.866,0.7723,95.01%,4.99%,24.81%,75.19%
0.7227,0.7468,0.869,0.7684,95.18%,4.82%,25.32%,74.68%
0.7326,0.7353,0.8699,0.7588,95.29%,4.71%,26.47%,73.53%
0.7425,0.7315,0.8733,0.756,95.45%,4.55%,26.85%,73.15%
0.7524,0.7289,0.8796,0.7548,95.72%,4.28%,27.11%,72.89%
0.7623,0.7263,0.8834,0.7531,95.89%,4.11%,27.37%,72.63%
0.7722,0.7251,0.8859,0.7524,96.00%,4.00%,27.49%,72.51%
