threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.1486,0.8175,0.5004,0.7256,79.60%,20.40%,18.25%,81.75%
0.1585,0.8044,0.5121,0.722,80.84%,19.16%,19.56%,80.44%
0.1684,0.8,0.5295,0.7258,82.23%,17.77%,20.00%,80.00%
0.1783,0.7912,0.5393,0.7236,83.10%,16.90%,20.88%,79.12%
0.1882,0.781,0.5487,0.7201,83.94%,16.06%,21.90%,78.10%
0.1981,0.7679,0.556,0.7135,84.67%,15.33%,23.21%,76.79%
0.208,0.7547,0.5663,0.7076,85.55%,14.45%,24.53%,75.47%
0.2179,0.746,0.5671,0.7017,85.77%,14.23%,25.40%,74.60%
0.2278,0.7372,0.5811,0.6996,86.72%,13.28%,26.28%,73.72%
0.2377,0.727,0.5936,0.6957,87.55%,12.45%,27.30%,72.70%
0.2476,0.7255,0.6106,0.6992,88.43%,11.57%,27.45%,72.55%
0.2575,0.7197,0.6193,0.6971,88.94%,11.06%,28.03%,71.97%
0.2674,0.7139,0.6277,0.6948,89.42%,10.58%,28.61%,71.39%
0.2773,0.7095,0.6345,0.6931,89.78%,10.22%,29.05%,70.95%
0.2872,0.7066,0.6453,0.6934,90.29%,9.71%,29.34%,70.66%
0.2971,0.6993,0.6553,0.69,90.80%,9.20%,30.07%,69.93%
0.307,0.6978,0.663,0.6906,91.13%,8.87%,30.22%,69.78%
0.3169,0.6934,0.6738,0.6894,91.61%,8.39%,30.66%,69.34%
0.3268,0.6861,0.6802,0.6849,91.93%,8.07%,31.39%,68.61%
0.3367,0.6803,0.6935,0.6829,92.48%,7.52%,31.97%,68.03%
0.3466,0.6788,0.7024,0.6834,92.81%,7.19%,32.12%,67.88%
0.3565,0.6745,0.7064,0.6806,92.99%,7.01%,32.55%,67.45%
0.3664,0.6745,0.7141,0.682,93.25%,6.75%,32.55%,67.45%
0.3763,0.6715,0.7199,0.6807,93.47%,6.53%,32.85%,67.15%
0.3862,0.6686,0.7293,0.6799,93.80%,6.20%,33.14%,66.86%
0.3961,0.6642,0.7362,0.6775,94.05%,5.95%,33.58%,66.42%
