Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,ICULOS,16.0,0-1,0-2,0-2,1572.6311,49934.418,
0,1,0-1,HR,91.5,0-3,0-4,0-4,404.482666,13144.5371,
0,2,0-2,HR,91.3333359,0-5,0-6,0-6,937.531616,36789.8828,
0,3,0-3,Phosphate,3.54076934,0-7,0-8,0-8,317.131958,7481.91211,
0,4,0-4,Hct,29.3346119,0-9,0-10,0-10,301.608276,5662.625,
0,5,0-5,MAP,77.5,0-11,0-12,0-12,724.771484,20866.8438,
0,6,0-6,Phosphate,3.50200009,0-13,0-14,0-14,514.474976,15923.0391,
0,7,0-7,TroponinI,12.9029074,0-15,0-16,0-16,146.369278,3285.49951,
0,8,0-8,Calcium,7.7379775,0-17,0-18,0-18,166.033691,4196.4126,
0,9,0-9,Chloride,109.0,0-19,0-20,0-20,87.3012695,1247.54089,
0,10,0-10,HospAdmTime,0.0,0-21,0-22,0-22,203.931396,4415.08398,
0,11,0-11,Calcium,7.38691568,0-23,0-24,0-24,215.740479,9731.23926,
0,12,0-12,SaO2,91.6148682,0-25,0-26,0-26,326.050293,11135.6045,
0,13,0-13,ICULOS,212.0,0-27,0-28,0-28,230.326019,8889.78711,
0,14,0-14,HR,122.5,0-29,0-30,0-30,219.593262,7033.25146,
0,15,0-15,Potassium,4.08395052,0-31,0-32,0-32,110.196495,2902.16333,
0,16,0-16,SBP,112.888885,0-33,0-34,0-34,64.7065277,383.335999,
0,17,0-17,HospAdmTime,-324.670013,0-35,0-36,0-36,73.52285,1891.86243,
0,18,0-18,Bilirubin_direct,0.79578948,0-37,0-38,0-38,82.9456177,2304.55029,
0,19,0-19,TroponinI,12.8298922,0-39,0-40,0-40,68.0688477,1194.60205,
0,20,0-20,O2Sat,99.0833359,0-41,0-42,0-42,43.8782997,52.9388733,
0,21,0-21,SaO2,91.2583923,0-43,0-44,0-44,131.335083,4110.53027,
0,22,0-22,HCO3,25.1290379,0-45,0-46,0-46,52.4697876,304.553986,
