threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.1288,0.8173,0.511,0.7298,80.45%,19.55%,18.27%,81.73%
0.1387,0.8056,0.5268,0.7285,81.91%,18.09%,19.44%,80.56%
0.1486,0.7939,0.5403,0.7257,83.11%,16.89%,20.61%,79.39%
0.1585,0.7895,0.5567,0.7285,84.28%,15.72%,21.05%,78.95%
0.1684,0.7807,0.5693,0.7267,85.23%,14.77%,21.93%,78.07%
0.1783,0.7749,0.5811,0.7264,86.04%,13.96%,22.51%,77.49%
0.1882,0.7705,0.5915,0.7265,86.70%,13.30%,22.95%,77.05%
0.1981,0.7573,0.5988,0.7192,87.32%,12.68%,24.27%,75.73%
0.208,0.7529,0.6102,0.7193,87.98%,12.02%,24.71%,75.29%
0.2179,0.7485,0.6184,0.7183,88.45%,11.55%,25.15%,74.85%
0.2278,0.7442,0.6292,0.7179,89.04%,10.96%,25.58%,74.42%
0.2377,0.7412,0.6434,0.7194,89.73%,10.27%,25.88%,74.12%
0.2476,0.7339,0.6494,0.7153,90.10%,9.90%,26.61%,73.39%
0.2575,0.7295,0.6644,0.7155,90.79%,9.21%,27.05%,72.95%
0.2674,0.7266,0.6725,0.7151,91.15%,8.85%,27.34%,72.66%
0.2773,0.7237,0.6818,0.7149,91.56%,8.44%,27.63%,72.37%
0.2872,0.7237,0.6894,0.7166,91.85%,8.15%,27.63%,72.37%
0.2971,0.7164,0.698,0.7126,92.25%,7.75%,28.36%,71.64%
0.307,0.7149,0.7056,0.713,92.54%,7.46%,28.51%,71.49%
0.3169,0.7105,0.7105,0.7105,92.76%,7.24%,28.95%,71.05%
0.3268,0.7076,0.7181,0.7097,93.06%,6.94%,29.24%,70.76%
0.3367,0.7061,0.7252,0.7099,93.31%,6.69%,29.39%,70.61%
0.3466,0.6974,0.7316,0.704,93.60%,6.40%,30.26%,69.74%
0.3565,0.6915,0.7356,0.6999,93.79%,6.21%,30.85%,69.15%
0.3664,0.6915,0.7414,0.7009,93.97%,6.03%,30.85%,69.15%
0.3763,0.6901,0.748,0.7009,94.19%,5.81%,30.99%,69.01%
0.3862,0.6871,0.7496,0.6988,94.26%,5.74%,31.29%,68.71%
0.3961,0.6813,0.754,0.6947,94.44%,5.56%,31.87%,68.13%
0.406,0.6813,0.759,0.6955,94.59%,5.41%,31.87%,68.13%
0.4159,0.6769,0.7615,0.6923,94.70%,5.30%,32.31%,67.69%
0.4258,0.6754,0.77,0.6924,94.96%,5.04%,32.46%,67.54%
0.4357,0.6696,0.771,0.6877,95.03%,4.97%,33.04%,66.96%
0.4456,0.6667,0.7729,0.6855,95.10%,4.90%,33.33%,66.67%
0.4555,0.6623,0.7797,0.6828,95.32%,4.68%,33.77%,66.23%
0.4654,0.6594,0.7871,0.6815,95.54%,4.46%,34.06%,65.94%
0.4753,0.6564,0.7933,0.6799,95.72%,4.28%,34.36%,65.64%
0.4852,0.652,0.7993,0.677,95.91%,4.09%,34.80%,65.20%
0.4951,0.6477,0.7996,0.6733,95.94%,4.06%,35.23%,64.77%
0.5049,0.6477,0.8069,0.6743,96.13%,3.87%,35.23%,64.77%
0.5148,0.6462,0.811,0.6736,96.24%,3.76%,35.38%,64.62%
0.5247,0.6447,0.8152,0.6729,96.35%,3.65%,35.53%,64.47%
0.5346,0.6418,0.8221,0.6713,96.53%,3.47%,35.82%,64.18%
0.5445,0.636,0.827,0.6668,96.67%,3.33%,36.40%,63.60%
0.5544,0.6345,0.8282,0.6656,96.71%,3.29%,36.55%,63.45%
