threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.109,0.9017,0.1968,0.5253,82.26%,17.74%,9.83%,90.17%
0.1189,0.8901,0.2148,0.5464,84.31%,15.69%,10.99%,89.01%
0.1288,0.8776,0.2323,0.5642,86.02%,13.98%,12.24%,87.76%
0.1387,0.8643,0.2517,0.5813,87.61%,12.39%,13.57%,86.43%
0.1486,0.8525,0.2716,0.5971,88.98%,11.02%,14.75%,85.25%
0.1585,0.8406,0.2907,0.6099,90.11%,9.89%,15.94%,84.06%
0.1684,0.8312,0.3118,0.6235,91.16%,8.84%,16.88%,83.12%
0.1783,0.8213,0.3331,0.6351,92.07%,7.93%,17.87%,82.13%
0.1882,0.8102,0.3523,0.6431,92.82%,7.18%,18.98%,81.02%
0.1981,0.8009,0.3722,0.6509,93.49%,6.51%,19.91%,80.09%
0.208,0.789,0.3912,0.6556,94.08%,5.92%,21.10%,78.90%
0.2179,0.7773,0.4129,0.6607,94.67%,5.33%,22.27%,77.73%
0.2278,0.7668,0.434,0.6648,95.18%,4.82%,23.32%,76.68%
0.2377,0.7557,0.4536,0.6669,95.61%,4.39%,24.43%,75.57%
0.2476,0.7446,0.4735,0.6681,96.01%,3.99%,25.54%,74.46%
0.2575,0.7352,0.4923,0.6692,96.35%,3.65%,26.48%,73.52%
0.2674,0.7252,0.5128,0.6697,96.68%,3.32%,27.48%,72.52%
0.2773,0.7126,0.5321,0.6673,96.98%,3.02%,28.74%,71.26%
0.2872,0.7026,0.5518,0.6662,97.25%,2.75%,29.74%,70.26%
0.2971,0.6916,0.571,0.6636,97.50%,2.50%,30.84%,69.16%
0.307,0.6816,0.5906,0.6613,97.72%,2.28%,31.84%,68.16%
0.3169,0.6697,0.6074,0.6562,97.91%,2.09%,33.03%,66.97%
0.3268,0.66,0.6239,0.6524,98.08%,1.92%,34.00%,66.00%
0.3367,0.6491,0.6416,0.6476,98.25%,1.75%,35.09%,64.91%
0.3466,0.6379,0.6577,0.6418,98.40%,1.60%,36.21%,63.79%
0.3565,0.6272,0.6719,0.6356,98.52%,1.48%,37.28%,62.72%
0.3664,0.6164,0.6887,0.6296,98.66%,1.34%,38.36%,61.64%
0.3763,0.6059,0.7047,0.6234,98.78%,1.22%,39.41%,60.59%
0.3862,0.5952,0.7186,0.6163,98.88%,1.12%,40.48%,59.52%
0.3961,0.5844,0.7299,0.6087,98.96%,1.04%,41.56%,58.44%
0.406,0.5716,0.7404,0.5989,99.03%,0.97%,42.84%,57.16%
0.4159,0.561,0.7514,0.5909,99.11%,0.89%,43.90%,56.10%
