threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0199,0.9965,0.5674,0.8656,67.45%,32.55%,0.35%,99.65%
0.0298,0.9965,0.628,0.8918,74.70%,25.30%,0.35%,99.65%
0.0397,0.996,0.6702,0.9077,79.00%,21.00%,0.40%,99.60%
0.0496,0.9957,0.7053,0.92,82.17%,17.83%,0.43%,99.57%
0.0595,0.9957,0.7321,0.9288,84.38%,15.62%,0.43%,99.57%
0.0694,0.9957,0.7551,0.9361,86.16%,13.84%,0.43%,99.57%
0.0793,0.9955,0.7748,0.9418,87.60%,12.40%,0.45%,99.55%
0.0892,0.9955,0.7909,0.9465,88.72%,11.28%,0.45%,99.55%
0.0991,0.9955,0.805,0.9505,89.66%,10.34%,0.45%,99.55%
0.109,0.9955,0.8161,0.9535,90.39%,9.61%,0.45%,99.55%
0.1189,0.9955,0.8284,0.9569,91.17%,8.83%,0.45%,99.55%
0.1288,0.9955,0.8381,0.9594,91.76%,8.24%,0.45%,99.55%
0.1387,0.9955,0.8494,0.9624,92.44%,7.56%,0.45%,99.55%
0.1486,0.9955,0.8557,0.964,92.80%,7.20%,0.45%,99.55%
0.1585,0.9955,0.8648,0.9663,93.33%,6.67%,0.45%,99.55%
0.1684,0.9955,0.8721,0.9681,93.74%,6.26%,0.45%,99.55%
0.1783,0.9955,0.8783,0.9696,94.09%,5.91%,0.45%,99.55%
0.1882,0.9955,0.885,0.9712,94.45%,5.55%,0.45%,99.55%
0.1981,0.9952,0.8894,0.9721,94.69%,5.31%,0.48%,99.52%
0.208,0.9952,0.8951,0.9734,95.00%,5.00%,0.48%,99.52%
0.2179,0.9928,0.8995,0.9726,95.24%,4.76%,0.72%,99.28%
0.2278,0.9928,0.9023,0.9733,95.39%,4.61%,0.72%,99.28%
0.2377,0.9928,0.9045,0.9738,95.51%,4.49%,0.72%,99.28%
0.2476,0.9928,0.9087,0.9747,95.73%,4.27%,0.72%,99.28%
0.2575,0.9925,0.9125,0.9754,95.92%,4.08%,0.75%,99.25%
0.2674,0.9925,0.9141,0.9758,96.00%,4.00%,0.75%,99.25%
0.2773,0.9925,0.9161,0.9762,96.10%,3.90%,0.75%,99.25%
0.2872,0.9925,0.9179,0.9766,96.20%,3.80%,0.75%,99.25%
0.2971,0.9925,0.9195,0.977,96.28%,3.72%,0.75%,99.25%
0.307,0.9925,0.922,0.9776,96.40%,3.60%,0.75%,99.25%
0.3169,0.9925,0.9243,0.9781,96.52%,3.48%,0.75%,99.25%
