feature,max_corr,dropped
HR,0.2599218818535197,False
O2Sat,0.1470059047504955,False
Temp,0.28411391193282437,False
SBP,0.7787999723382051,False
MAP,0.8459997695424504,False
DBP,0.8459997695424504,False
Resp,0.23740938538666712,False
EtCO2,0.430443365775831,False
BaseExcess,0.8666021776705709,True
HCO3,0.8666021776705709,False
FiO2,0.16752876119064875,False
pH,0.6690925800518716,False
PaCO2,0.5396891307193925,False
SaO2,0.2452682932452667,False
AST,0.2947559318142671,False
BUN,0.60895246274749,False
Alkalinephos,0.197105985360493,False
Calcium,0.2452682932452667,False
Chloride,0.34019875915672565,False
Creatinine,0.60895246274749,False
Bilirubin_direct,0.9688662659328988,True
Glucose,0.2443960565552399,False
Lactate,0.42697646348338636,False
Magnesium,0.23617199374688969,False
Phosphate,0.5426203415760977,False
Potassium,0.38608314565909385,False
Bilirubin_total,0.9688662659328988,False
TroponinI,0.29738706457511416,False
Hct,0.9481737067639927,True
Hgb,0.9481737067639927,False
PTT,0.29738706457511416,False
WBC,0.15416936061096503,False
Fibrinogen,0.33993629548292326,False
Platelets,0.33993629548292326,False
Age,0.2700929576555842,False
Gender,0.1057973711994992,False
