Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,HR,93.0,0-1,0-2,0-2,448.614563,2623.41553,
0,1,0-1,HospAdmTime,-1.5,0-3,0-4,0-4,235.267166,1678.9834,
0,2,0-2,HospAdmTime,-2.05999994,0-5,0-6,0-6,124.81543,944.43219,
0,3,0-3,MAP,75.6699982,0-7,0-8,0-8,220.922302,1017.44745,
0,4,0-4,DBP,50.2776718,0-9,0-10,0-10,51.9745407,661.536011,
0,5,0-5,HospAdmTime,-46.8300018,0-11,0-12,0-12,84.5724182,568.33429,
0,6,0-6,HR,111.5,0-13,0-14,0-14,27.3625183,376.09787,
0,7,0-7,HospAdmTime,-76.0899963,0-15,0-16,0-16,54.3862076,428.855927,
0,8,0-8,HospAdmTime,-291.279999,0-17,0-18,0-18,92.0658569,588.591492,
0,9,0-9,PaCO2,41.4614487,0-19,0-20,0-20,12.2102814,74.2487259,
0,10,0-10,O2Sat,99.5,0-21,0-22,0-22,50.9755821,587.287292,
0,11,0-11,HR,117.0,0-23,0-24,0-24,31.6422501,281.774139,
0,12,0-12,SBP,107.0,0-25,0-26,0-26,47.035183,286.560181,
0,13,0-13,Age,24.0,0-27,0-28,0-28,15.9331512,254.616104,
0,14,0-14,Chloride,106.532608,0-29,0-30,0-30,5.70727539,121.481773,
0,15,0-15,Leaf,,,,,0.04291467,151.146606,
0,16,0-16,Leaf,,,,,-0.0314239077,277.70932,
0,17,0-17,Leaf,,,,,0.0385137387,44.2050858,
0,18,0-18,Leaf,,,,,-0.110788815,544.386414,
0,19,0-19,Leaf,,,,,0.127707481,44.6478806,
0,20,0-20,Leaf,,,,,0.0431415997,29.6008472,
0,21,0-21,Leaf,,,,,-0.00944647565,451.621613,
0,22,0-22,Leaf,,,,,0.0602428913,135.66568,
0,23,0-23,Leaf,,,,,0.049478516,230.860596,
0,24,0-24,Leaf,,,,,0.136432797,50.913559,
0,25,0-25,Leaf,,,,,0.0496626645,86.8025436,
0,26,0-26,Leaf,,,,,-0.0380980559,199.757629,
0,27,0-27,Leaf,,,,,-0.0362800397,10.4271183,
0,28,0-28,Leaf,,,,,0.0870259181,244.18898,
0,29,0-29,Leaf,,,,,0.153615713,91.7038116,
0,30,0-30,Leaf,,,,,0.0960295126,29.7779655,
