Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,ICULOS,18.0,0-1,0-2,0-2,2006.33936,46662.5898,
0,1,0-1,HR,104.5,0-3,0-4,0-4,344.69458,13287.0908,
0,2,0-2,HR,91.5,0-5,0-6,0-6,850.810364,33375.4961,
0,3,0-3,SaO2,91.8057938,0-7,0-8,0-8,310.399414,10427.6494,
0,4,0-4,Hct,29.3720684,0-9,0-10,0-10,121.755493,2859.44165,
0,5,0-5,MAP,79.5,0-11,0-12,0-12,708.859985,18779.9219,
0,6,0-6,Phosphate,3.50200009,0-13,0-14,0-14,523.96521,14595.5742,
0,7,0-7,Bilirubin_total,1.16666663,0-15,0-16,0-16,131.75,2801.00122,
0,8,0-8,HospAdmTime,0.0,0-17,0-18,0-18,244.06395,7626.64795,
0,9,0-9,Bilirubin_direct,0.582222223,0-19,0-20,0-20,73.1412964,726.622803,
0,10,0-10,HospAdmTime,0.0,0-21,0-22,0-22,64.3411255,2132.81885,
0,11,0-11,HR,69.0,0-23,0-24,0-24,219.850082,9736.53125,
0,12,0-12,SaO2,91.6148682,0-25,0-26,0-26,217.372681,9043.39062,
0,13,0-13,O2Sat,96.5808792,0-27,0-28,0-28,231.725555,8189.63086,
0,14,0-14,BUN,31.7485199,0-29,0-30,0-30,156.904938,6405.94336,
0,15,0-15,ICULOS,4.0,0-31,0-32,0-32,80.663269,1162.20703,
0,16,0-16,TroponinI,18.097126,0-33,0-34,0-34,83.7160492,1638.79419,
0,17,0-17,Phosphate,3.65471983,0-35,0-36,0-36,266.309174,7084.9873,
0,18,0-18,FiO2,0.482938141,0-37,0-38,0-38,88.6611328,541.661011,
0,19,0-19,HospAdmTime,-0.0199999996,0-39,0-40,0-40,59.2346306,38.181427,
0,20,0-20,HCO3,24.0688496,0-41,0-42,0-42,48.5734253,688.441406,
0,21,0-21,Bilirubin_total,2.4304347,0-43,0-44,0-44,65.2894287,1989.37842,
0,22,0-22,HCO3,25.1238861,0-45,0-46,0-46,45.8110352,143.440338,
0,23,0-23,PTT,41.6376801,0-47,0-48,0-48,131.11441,2306.7832,
0,24,0-24,Calcium,7.43538952,0-49,0-50,0-50,339.165222,7429.74805,
0,25,0-25,Alkalinephos,83.0462952,0-51,0-52,0-52,51.8937149,634.423523,
0,26,0-26,HR,76.5,0-53,0-54,0-54,148.636719,8408.96777,
0,27,0-27,Potassium,3.91915607,0-55,0-56,0-56,111.697525,3232.48047,
0,28,0-28,ICULOS,212.0,0-57,0-58,0-58,220.252319,4957.15039,
0,29,0-29,SaO2,93.8189926,0-59,0-60,0-60,188.223572,5348.96777,
0,30,0-30,Lactate,3.53896785,0-61,0-62,0-62,72.1911163,1056.97607,
0,31,0-31,Potassium,4.0498271,0-63,0-64,0-64,24.7648354,159.691071,
0,32,0-32,AST,65.0800018,0-65,0-66,0-66,42.9428101,1002.51599,
0,33,0-33,HospAdmTime,-36.9700012,0-67,0-68,0-68,67.1376495,1525.17029,
0,34,0-34,SBP,116.0,0-69,0-70,0-70,45.633606,113.623924,
0,35,0-35,Lactate,2.34421372,0-71,0-72,0-72,157.325592,4638.2959,
0,36,0-36,Hct,32.1031532,0-73,0-74,0-74,126.720642,2446.69141,
0,37,0-37,Potassium,3.91738057,0-75,0-76,0-76,120.849251,48.7949982,
0,38,0-38,Chloride,106.581116,0-77,0-78,0-78,75.4942627,492.866028,
0,39,0-39,HCO3,25.1238861,0-79,0-80,0-80,38.7868576,23.9203568,
0,40,0-40,MAP,78.5,0-81,0-82,0-82,17.8691044,14.2610703,
0,41,0-41,O2Sat,99.0434799,0-83,0-84,0-84,49.1925049,583.408875,
0,42,0-42,HospAdmTime,-0.0299999993,0-85,0-86,0-86,91.9330826,105.032494,
0,43,0-43,TroponinI,10.5699406,0-87,0-88,0-88,55.9622192,1549.96387,
0,44,0-44,Chloride,105.836174,0-89,0-90,0-90,53.3787155,439.414612,
0,45,0-45,Phosphate,3.5234201,0-91,0-92,0-92,41.4862976,138.690338,
0,46,0-46,Leaf,,,,,-0.165217385,4.75,
0,47,0-47,SaO2,92.2185974,0-93,0-94,0-94,104.484497,1207.62573,
0,48,0-48,PTT,41.8614349,0-95,0-96,0-96,71.0800247,1099.15747,
0,49,0-49,MAP,57.0,0-97,0-98,0-98,129.663406,3140.23853,
0,50,0-50,HospAdmTime,-214.679993,0-99,0-100,0-100,127.819733,4289.50977,
0,51,0-51,MAP,112.0,0-101,0-102,0-102,44.4092941,197.577484,
0,52,0-52,ICULOS,27.0,0-103,0-104,0-104,71.8147583,436.846039,
0,53,0-53,HospAdmTime,-4.26999998,0-105,0-106,0-106,114.433838,3574.1748,
0,54,0-54,Calcium,8.01709557,0-107,0-108,0-108,187.872681,4834.79248,
0,55,0-55,ICULOS,49.0,0-109,0-110,0-110,33.3183136,341.26712,
0,56,0-56,Bilirubin_direct,0.686363637,0-111,0-112,0-112,128.495773,2891.21338,
0,57,0-57,ICULOS,98.0,0-113,0-114,0-114,124.093109,4691.29102,
0,58,0-58,FiO2,0.53244704,0-115,0-116,0-116,45.5054474,265.859253,
0,59,0-59,HospAdmTime,-1171.71997,0-117,0-118,0-118,119.123535,3332.33472,
0,60,0-60,Bilirubin_total,6.36044788,0-119,0-120,0-120,123.664169,2016.63281,
0,61,0-61,FiO2,0.660000026,0-121,0-122,0-122,38.5317955,798.137451,
0,62,0-62,HospAdmTime,-118.169998,0-123,0-124,0-124,97.5326538,258.838562,
0,63,0-63,Leaf,,,,,-0.171428576,6.0,
0,64,0-64,SBP,96.5,0-125,0-126,0-126,23.8183517,153.691071,
0,65,0-65,DBP,52.1451263,0-127,0-128,0-128,38.3596878,105.112137,
0,66,0-66,TroponinI,7.90481138,0-129,0-130,0-130,33.6262207,897.40387,
0,67,0-67,Fibrinogen,279.601562,0-131,0-132,0-132,63.5275269,671.557129,
0,68,0-68,HospAdmTime,-0.0599999987,0-133,0-134,0-134,87.9134598,853.613159,
0,69,0-69,FiO2,0.519604504,0-135,0-136,0-136,27.8675613,51.4542847,
0,70,0-70,HR,88.0416641,0-137,0-138,0-138,39.0016365,62.1696396,
0,71,0-71,Creatinine,1.62425053,0-139,0-140,0-140,104.810921,2203.58423,
0,72,0-72,HR,83.0,0-141,0-142,0-142,90.2524033,2434.71167,
0,73,0-73,Fibrinogen,255.916672,0-143,0-144,0-144,90.8119812,1776.21094,
0,74,0-74,DBP,80.0,0-145,0-146,0-146,69.8599396,670.480347,
0,75,0-75,Alkalinephos,89.9489365,0-147,0-148,0-148,15.284935,16.931427,
0,76,0-76,FiO2,0.310000002,0-149,0-150,0-150,34.336525,31.8635712,
0,77,0-77,HR,91.0,0-151,0-152,0-152,67.4143982,381.186768,
0,78,0-78,SaO2,91.8492966,0-153,0-154,0-154,27.5852356,111.679276,
0,79,0-79,Leaf,,,,,-0.190123469,19.25,
0,80,0-80,FiO2,0.482023567,0-155,0-156,0-156,0.876570702,4.67035675,
0,81,0-81,Lactate,2.80655241,0-157,0-158,0-158,0.619083405,12.5110703,
0,82,0-82,Leaf,,,,,-0.127272725,1.75,
0,83,0-83,SaO2,93.2493973,0-159,0-160,0-160,31.0846558,449.047455,
0,84,0-84,Magnesium,2.01717687,0-161,0-162,0-162,24.4980583,134.36142,
0,85,0-85,HospAdmTime,-18.3299999,0-163,0-164,0-164,66.1530228,81.6121368,
0,86,0-86,SOFA,8.0,0-165,0-166,0-166,34.0725555,23.4203568,
0,87,0-87,Hgb,9.84360027,0-167,0-168,0-168,48.8087769,1168.45776,
0,88,0-88,DBP,53.7400093,0-169,0-170,0-170,68.70784,381.506042,
0,89,0-89,HospAdmTime,-0.0500000007,0-171,0-172,0-172,53.837574,246.530334,
0,90,0-90,DBP,72.6271133,0-173,0-174,0-174,55.3569794,192.884277,
0,91,0-91,SaO2,88.9449921,0-175,0-176,0-176,24.446106,94.2478485,
0,92,0-92,pH,7.39148378,0-177,0-178,0-178,32.5489349,44.4424973,
0,93,0-93,TroponinI,8.17881584,0-179,0-180,0-180,101.155731,270.555359,
0,94,0-94,ICULOS,201.0,0-181,0-182,0-182,125.600403,937.070312,
0,95,0-95,HospAdmTime,-14.5,0-183,0-184,0-184,92.2428741,109.929993,
0,96,0-96,TroponinI,4.27167702,0-185,0-186,0-186,71.0872116,989.227478,
0,97,0-97,TroponinI,23.6039219,0-187,0-188,0-188,48.4680252,178.247131,
0,98,0-98,Chloride,104.413696,0-189,0-190,0-190,120.983582,2961.99121,
0,99,0-99,HospAdmTime,-233.350006,0-191,0-192,0-192,94.6648483,493.642487,
0,100,0-100,Chloride,105.161919,0-193,0-194,0-194,143.926392,3795.86719,
0,101,0-101,ICULOS,115.0,0-195,0-196,0-196,32.8264427,181.759644,
0,102,0-102,FiO2,0.498919815,0-197,0-198,0-198,9.07194901,15.8178558,
0,103,0-103,TroponinI,5.32741356,0-199,0-200,0-200,38.123745,58.5449982,
0,104,0-104,Fibrinogen,330.710541,0-201,0-202,0-202,28.0841293,378.301056,
0,105,0-105,ICULOS,255.0,0-203,0-204,0-204,95.2661133,1304.25244,
0,106,0-106,Phosphate,3.55585933,0-205,0-206,0-206,107.440369,2269.92236,
0,107,0-107,AST,100.234375,0-207,0-208,0-208,163.114563,3882.6228,
0,108,0-108,HospAdmTime,-22.9099998,0-209,0-210,0-210,62.698822,952.169922,
0,109,0-109,HospAdmTime,-29.0300007,0-211,0-212,0-212,52.6439514,118.589279,
0,110,0-110,Potassium,3.9000001,0-213,0-214,0-214,38.4460449,222.677841,
0,111,0-111,O2Sat,90.0,0-215,0-216,0-216,59.529335,831.832092,
0,112,0-112,BUN,20.5955353,0-217,0-218,0-218,86.4298401,2059.38135,
0,113,0-113,HR,111.125,0-219,0-220,0-220,129.781708,3449.29102,
0,114,0-114,Alkalinephos,95.6010895,0-221,0-222,0-222,81.0919495,1242.00037,
0,115,0-115,pH,7.3976512,0-223,0-224,0-224,36.6885796,232.496414,
0,116,0-116,SBP,87.0,0-225,0-226,0-226,5.099617,33.362854,
0,117,0-117,DBP,52.1451263,0-227,0-228,0-228,12.961586,34.2271423,
0,118,0-118,O2Sat,97.0625,0-229,0-230,0-230,88.2497559,3298.10767,
0,119,0-119,ICULOS,125.0,0-231,0-232,0-232,136.434311,1963.03174,
0,120,0-120,BUN,10.0,0-233,0-234,0-234,20.6098938,53.6010666,
0,121,0-121,TroponinI,3.7194016,0-235,0-236,0-236,30.8826694,764.75177,
0,122,0-122,O2Sat,90.0,0-237,0-238,0-238,15.1562691,33.3857117,
0,123,0-123,DBP,59.2561493,0-239,0-240,0-240,38.8424683,55.5899963,
