threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.0793,0.9334,0.5007,0.7959,76.73%,23.27%,6.66%,93.34%
0.0892,0.9309,0.5163,0.8021,78.20%,21.80%,6.91%,93.09%
0.0991,0.9257,0.5324,0.8066,79.67%,20.33%,7.43%,92.57%
0.109,0.9219,0.5434,0.8092,80.63%,19.37%,7.81%,92.19%
0.1189,0.9193,0.5566,0.8133,81.69%,18.31%,8.07%,91.93%
0.1288,0.9091,0.5685,0.8118,82.75%,17.25%,9.09%,90.91%
0.1387,0.9052,0.5805,0.8141,83.64%,16.36%,9.48%,90.52%
0.1486,0.9001,0.5913,0.815,84.44%,15.56%,9.99%,90.01%
0.1585,0.8899,0.5997,0.8113,85.15%,14.85%,11.01%,88.99%
0.1684,0.8848,0.6056,0.8101,85.60%,14.40%,11.52%,88.48%
0.1783,0.8835,0.6161,0.8129,86.24%,13.76%,11.65%,88.35%
0.1882,0.8758,0.6235,0.8102,86.78%,13.22%,12.42%,87.58%
0.1981,0.8694,0.6275,0.8072,87.10%,12.90%,13.06%,86.94%
0.208,0.8681,0.6342,0.8085,87.48%,12.52%,13.19%,86.81%
0.2179,0.8643,0.6404,0.8078,87.87%,12.13%,13.57%,86.43%
0.2278,0.863,0.6481,0.8093,88.28%,11.72%,13.70%,86.30%
0.2377,0.8592,0.6611,0.8106,88.99%,11.01%,14.08%,85.92%
0.2476,0.8528,0.6667,0.8077,89.34%,10.66%,14.72%,85.28%
0.2575,0.8464,0.6738,0.8051,89.76%,10.24%,15.36%,84.64%
0.2674,0.8412,0.6794,0.803,90.08%,9.92%,15.88%,84.12%
0.2773,0.8374,0.6848,0.8017,90.36%,9.64%,16.26%,83.74%
0.2872,0.8348,0.6892,0.801,90.59%,9.41%,16.52%,83.48%
0.2971,0.8297,0.696,0.799,90.94%,9.06%,17.03%,82.97%
0.307,0.8259,0.7034,0.7981,91.29%,8.71%,17.41%,82.59%
0.3169,0.8246,0.7046,0.7974,91.36%,8.64%,17.54%,82.46%
0.3268,0.8195,0.708,0.7944,91.55%,8.45%,18.05%,81.95%
0.3367,0.8143,0.713,0.7918,91.81%,8.19%,18.57%,81.43%
